,NY_CAPITL,NY_CENTRL,NY_DUNWOD,NY_GENESE,NY_HQ,NY_HUDSON_VALLEY,NY_LONG_ISLAND,NY_MHKVL,NY_MILLWD,N.Y.C.,NY_NORTH,NY_NPX,NY_OH,NY_PJM,NY_WEST,MINNESOTA,MICHIGAN,ILLINOIS,INDIANA,ARKANSAS,MISSISIPI,TEXAS,LOUISIANA,MISOURI,IOWA,WISCONSIN,N-DAKOTA,S-DAKOTA,MONTANA,TX_AEN,TX_CPS,TX_HOUSTON,TX_LCRA,TX_NORTH,TX_RAYBN,TX_SOUTH,TX_WEST,MAINE,NEW_HAMPSHIRE,VERMONT,CONNETICUT,RHODEISLAND,SE_MASSACHUSETTS,WEST_MASSACHUSETTS,BOSTON
0,134.75,122.42,134.26,117.3,123.17,134.26,134.88,129.52,134.75,135.5,125.65,133.88,111.82,126.53,113.81,40.8,45.09,43.11,44.27,41.26,44.85,38.1,48.28,43.02,42.25,43.69,40.54,39.6,41.02,23.23,23.23,23.23,23.23,23.23,23.23,23.23,23.23,34.32,35.3,34.66,35.43,35.9,35.67,35.59,35.74
1,162.91,55.53,133.21,50.06,40.74,133.02,133.34,60.75,134.42,133.69,41.57,149.05,52.18,103.24,52.41,31.39,34.89,27.7,34.25,33.0,37.03,34.41,36.28,33.82,32.9,33.86,31.26,30.53,31.69,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,37.14,38.18,37.86,38.57,38.81,38.54,38.62,38.59
2,166.59,52.41,134.71,46.86,36.57,134.56,134.72,57.66,136.01,135.11,37.12,151.78,49.51,103.2,49.59,37.66,43.33,18.6,44.46,41.17,46.31,26.82,49.24,42.05,40.24,41.16,37.56,36.63,38.16,20.16,20.16,20.16,20.16,20.16,20.16,20.16,20.16,20.3,20.97,20.88,21.23,21.32,21.18,21.25,21.18
3,162.64,55.51,133.01,50.11,40.43,132.87,133.01,60.67,134.22,133.53,41.05,148.74,52.36,103.22,52.54,32.74,38.77,21.57,40.66,36.61,41.64,34.18,42.16,37.64,35.3,36.3,32.77,31.98,33.34,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,17.35,18.22,18.11,18.46,18.52,18.4,18.47,18.39
4,136.95,82.92,123.02,78.45,76.19,123.1,122.98,88.37,123.88,123.74,77.27,130.26,77.18,106.26,78.2,31.0,37.49,7.77,39.82,35.08,40.37,30.29,42.87,36.17,33.52,34.88,31.15,30.36,31.7,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,7.13,7.46,7.39,7.53,7.57,7.52,7.55,7.52
5,91.01,83.01,90.93,80.06,75.28,90.93,92.11,87.64,91.26,91.94,84.61,82.61,76.6,74.98,77.95,30.08,37.1,15.62,39.87,34.24,39.31,35.4,39.58,35.06,32.59,34.24,30.13,29.34,30.64,21.45,21.45,21.45,21.45,21.45,21.45,21.45,21.45,16.87,17.73,17.64,17.89,17.99,17.88,17.94,17.88
6,132.59,120.31,132.46,115.27,121.66,132.35,132.83,127.55,133.08,133.82,123.74,131.98,109.26,124.85,110.98,31.19,40.54,28.66,43.05,38.08,43.44,37.22,44.61,40.28,33.22,36.65,30.94,30.0,31.42,24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.35,10.2,10.7,10.63,10.77,10.84,10.78,10.81,10.77
7,124.61,113.62,124.59,108.43,113.84,124.49,124.95,119.84,125.18,125.75,115.45,124.03,103.24,117.9,104.97,76.5,88.45,94.35,106.49,92.1,119.62,57.39,116.85,101.46,81.23,89.93,76.07,74.15,77.12,24.06,24.06,24.06,24.06,24.06,24.06,24.06,24.06,-43.37,-44.23,-43.82,-44.41,-44.71,-44.43,-44.56,-44.46
8,226.55,206.88,225.51,197.87,206.88,225.51,224.66,218.58,226.55,227.81,210.43,224.66,188.02,213.79,191.16,43.42,48.34,55.05,61.85,48.74,81.41,25.2,73.34,61.38,44.47,51.49,42.26,40.79,42.81,25.48,25.48,25.48,25.48,25.48,25.48,25.48,25.48,-19.37,-19.69,-19.48,-19.73,-19.86,-19.74,-19.81,-19.77
9,503.26,460.0,502.82,439.04,421.07,502.33,510.27,486.53,505.11,507.92,467.43,441.4,417.13,436.87,425.06,36.34,47.59,48.93,54.69,100.79,115.01,73.8,124.47,56.41,36.1,44.59,34.97,33.61,35.59,24.94,24.94,24.94,24.94,24.94,24.94,24.94,24.94,18.63,19.25,18.98,19.38,19.49,19.38,19.43,19.41
