TX_AEN,TX_CPS,TX_HOUSTON,TX_LCRA,TX_NORTH,TX_RAYBN,TX_SOUTH,TX_WEST
23.23,23.23,23.23,23.23,23.23,23.23,23.23,23.23
21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82
20.16,20.16,20.16,20.16,20.16,20.16,20.16,20.16
20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24
21.45,21.45,21.45,21.45,21.45,21.45,21.45,21.45
24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.35
24.06,24.06,24.06,24.06,24.06,24.06,24.06,24.06
25.48,25.48,25.48,25.48,25.48,25.48,25.48,25.48
24.94,24.94,24.94,24.94,24.94,24.94,24.94,24.94
28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06
23.71,23.71,23.71,23.71,23.71,23.71,23.71,23.71
23.25,23.25,23.25,23.25,23.25,23.25,23.26,23.25
24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
23.22,23.22,23.22,23.22,23.22,23.22,23.22,23.22
22.94,22.95,22.94,22.95,22.94,22.94,22.95,22.98
41.99,42.0,41.99,41.99,41.98,41.98,42.0,42.1
35.0,35.0,34.99,35.0,34.99,34.99,35.0,35.07
24.97,24.97,24.97,24.97,24.97,24.97,24.98,24.97
24.28,24.28,24.28,24.28,24.28,24.28,24.29,24.28
23.23,23.23,23.22,23.23,23.23,23.23,23.24,23.23
20.2,20.2,20.19,20.2,20.2,20.2,20.18,20.2
17.93,17.93,17.92,17.93,17.93,17.93,17.9,17.93
17.52,17.54,17.52,17.52,17.54,17.54,17.48,17.55
17.52,17.53,17.52,17.51,17.54,17.54,17.48,17.55
17.09,17.11,17.1,17.08,17.11,17.12,17.07,17.12
16.56,16.58,16.57,16.56,16.58,16.58,16.54,16.59
15.82,15.83,15.82,15.82,15.83,15.83,15.81,15.84
15.82,15.83,15.82,15.82,15.83,15.83,15.81,15.83
15.94,15.95,15.92,15.94,15.89,15.89,15.95,15.85
17.11,17.13,17.09,17.11,17.06,17.06,17.12,17.01
18.53,18.54,18.53,18.53,18.52,18.52,18.53,18.51
21.8,21.81,21.8,21.8,21.81,21.81,21.79,21.81
23.52,23.53,23.52,23.52,23.53,23.53,23.51,23.53
24.07,24.07,24.07,24.06,24.07,24.07,24.06,24.07
24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8
24.14,24.14,24.14,24.14,24.14,24.14,24.14,24.14
24.89,24.89,24.89,24.89,24.89,24.89,24.89,24.89
22.31,22.32,22.33,22.31,22.3,22.3,22.32,22.31
23.36,23.37,23.4,23.34,23.38,23.38,23.91,23.38
50.78,50.78,50.8,50.77,50.76,50.76,50.78,50.76
30.08,30.02,30.09,30.03,30.0,29.99,30.58,30.0
25.56,24.52,24.77,24.41,24.28,24.29,29.85,24.33
23.93,23.8,24.03,23.64,23.89,23.88,27.22,23.86
22.85,22.84,22.93,22.8,22.97,23.04,23.71,22.69
18.38,18.29,18.37,18.25,18.31,18.44,18.3,17.95
14.99,14.79,14.79,14.79,14.79,14.86,14.77,14.64
11.66,11.17,11.13,11.23,11.05,11.18,11.14,10.82
9.7,9.17,9.17,9.2,9.14,9.23,9.16,9.02
9.91,9.66,9.68,9.67,9.67,9.79,9.66,9.49
13.23,13.03,13.02,13.04,13.01,13.01,13.03,13.01
17.16,16.97,16.96,16.98,16.95,16.95,16.97,16.95
21.02,21.02,21.02,21.02,21.02,21.02,21.03,21.02
23.95,24.0,24.36,23.97,23.8,23.81,24.06,23.85
23.8,23.9,24.0,23.95,23.89,23.89,24.11,23.88
26.53,26.61,26.7,26.68,26.62,26.62,26.68,26.61
24.82,24.91,25.01,24.97,24.92,24.92,25.13,24.91
24.9,25.0,25.09,25.05,25.0,25.0,25.21,24.99
24.94,25.02,25.14,25.08,25.04,25.04,25.36,25.03
25.47,25.64,25.74,25.56,25.62,25.62,26.72,25.63
24.87,25.12,25.21,24.91,25.05,25.05,27.0,25.05
24.8,25.17,25.34,24.93,25.08,25.09,27.68,25.08
23.22,23.66,24.42,23.39,23.2,23.2,26.38,23.28
23.75,24.16,24.31,23.85,23.92,23.93,26.24,23.94
40.45,40.83,40.98,40.71,40.72,40.72,42.19,40.71
36.36,36.63,36.96,36.8,36.66,36.66,37.24,36.63
26.98,27.16,27.39,27.27,27.18,27.19,27.58,27.17
24.83,25.02,25.24,25.12,25.04,25.04,25.5,25.02
24.69,24.82,24.98,24.88,24.84,24.84,25.28,24.83
24.16,24.24,24.34,24.31,24.25,24.25,24.3,24.24
21.82,21.87,21.93,21.92,21.88,21.88,21.91,21.87
21.35,21.41,21.46,21.45,21.41,21.41,21.48,21.4
20.81,20.86,20.89,20.88,20.85,20.85,20.92,20.85
20.96,21.0,21.02,21.02,20.99,21.0,21.04,21.0
22.23,22.27,22.29,22.29,22.26,22.26,22.3,22.26
22.78,22.84,22.88,22.87,22.83,22.83,22.9,22.83
24.62,24.75,24.76,24.79,24.71,24.7,24.92,24.71
43.82,44.13,44.13,44.23,44.03,44.0,44.51,44.13
34.84,35.18,35.09,35.31,35.03,35.01,35.64,35.28
29.83,30.07,30.08,30.21,30.04,30.09,30.41,30.24
