MINNESOTA,MICHIGAN,ILLINOIS,INDIANA,ARKANSAS,MISSISIPI,TEXAS,LOUISIANA,MISOURI,IOWA,WISCONSIN,N-DAKOTA,S-DAKOTA,MONTANA
28.05,30.38,28.22,29.9,28.39,29.19,31.28,31.97,28.38,27.79,29.65,28.13,26.73,28.34
27.21,31.02,28.24,31.35,27.16,26.24,29.55,30.64,27.97,27.35,29.1,27.43,26.09,27.65
25.64,29.16,26.12,30.15,26.46,29.1,28.11,29.16,26.53,25.88,27.36,25.96,24.78,26.19
26.35,29.77,26.1,31.51,27.43,29.45,28.81,29.72,27.17,26.64,28.0,26.94,25.68,27.19
26.92,30.35,26.88,31.86,28.03,28.53,29.26,30.23,27.86,27.27,28.67,27.5,26.33,27.76
32.28,35.86,12.67,38.99,33.18,35.34,34.74,35.94,33.32,32.59,34.25,32.98,31.69,33.32
42.05,45.48,39.85,46.48,42.21,46.64,44.44,46.08,42.88,42.18,44.15,43.14,41.53,43.6
54.18,49.12,52.17,40.9,74.1,81.02,76.37,79.75,56.09,55.03,56.82,55.6,53.88,56.24
43.76,41.14,42.96,36.22,55.08,60.89,57.02,59.58,44.94,44.18,45.28,44.87,43.5,45.43
48.87,40.15,46.44,29.28,73.31,79.97,74.86,78.29,50.55,49.6,50.69,50.17,48.91,50.82
62.21,51.89,59.25,39.99,90.19,95.39,90.84,94.58,63.96,63.21,64.25,63.56,62.35,64.29
48.77,49.21,47.77,50.02,48.49,49.41,48.5,49.99,48.43,48.74,49.58,49.09,48.16,49.55
51.98,50.01,48.6,50.79,47.73,48.85,47.87,49.32,47.93,51.34,51.9,52.3,51.81,52.8
36.26,36.52,35.23,37.18,35.39,36.14,35.57,36.51,35.57,36.31,36.91,36.09,35.51,36.49
34.23,34.9,33.57,35.24,33.45,34.24,34.05,34.61,33.56,34.32,35.08,34.03,33.47,34.39
31.42,32.1,30.8,32.29,30.72,31.53,31.81,32.06,30.73,31.45,32.3,31.22,30.66,31.53
37.36,37.94,36.24,38.13,35.91,36.88,36.83,37.48,36.26,37.11,38.0,37.3,36.46,37.61
122.32,119.19,113.8,120.07,105.76,110.08,105.18,112.02,111.14,119.99,123.48,123.27,121.24,123.98
278.35,236.09,237.34,249.66,218.9,230.06,214.94,233.77,222.31,267.62,274.0,282.71,283.88,284.36
103.65,55.36,99.4,107.57,99.36,110.38,90.43,114.29,101.75,102.81,104.71,103.21,102.31,104.24
56.91,27.18,56.34,60.96,57.04,61.78,57.73,60.57,57.76,56.88,57.03,55.76,55.02,56.38
65.01,65.65,65.31,69.09,64.05,69.74,64.59,68.79,65.83,65.5,68.17,63.35,62.76,64.26
44.71,46.54,44.83,47.38,43.79,47.53,44.04,46.55,45.02,44.68,46.89,43.64,43.03,44.17
39.06,41.56,39.79,41.55,39.02,41.64,38.94,41.63,39.83,39.4,41.14,38.38,37.6,38.82
40.8,45.09,43.11,44.27,41.26,44.85,38.1,48.28,43.02,42.25,43.69,40.54,39.6,41.02
31.39,34.89,27.7,34.25,33.0,37.03,34.41,36.28,33.82,32.9,33.86,31.26,30.53,31.69
37.66,43.33,18.6,44.46,41.17,46.31,26.82,49.24,42.05,40.24,41.16,37.56,36.63,38.16
32.74,38.77,21.57,40.66,36.61,41.64,34.18,42.16,37.64,35.3,36.3,32.77,31.98,33.34
31.0,37.49,7.77,39.82,35.08,40.37,30.29,42.87,36.17,33.52,34.88,31.15,30.36,31.7
30.08,37.1,15.62,39.87,34.24,39.31,35.4,39.58,35.06,32.59,34.24,30.13,29.34,30.64
31.19,40.54,28.66,43.05,38.08,43.44,37.22,44.61,40.28,33.22,36.65,30.94,30.0,31.42
76.5,88.45,94.35,106.49,92.1,119.62,57.39,116.85,101.46,81.23,89.93,76.07,74.15,77.12
43.42,48.34,55.05,61.85,48.74,81.41,25.2,73.34,61.38,44.47,51.49,42.26,40.79,42.81
36.34,47.59,48.93,54.69,100.79,115.01,73.8,124.47,56.41,36.1,44.59,34.97,33.61,35.59
72.49,90.49,86.23,93.48,176.65,190.09,142.06,205.91,89.47,75.52,83.45,71.04,69.12,71.82
65.53,79.52,75.8,81.9,76.43,81.87,64.4,85.87,75.97,69.17,74.64,64.02,62.5,64.7
50.98,63.81,61.17,64.95,60.35,63.25,49.69,67.13,60.36,55.21,59.82,50.24,48.84,50.71
40.8,49.32,46.68,50.74,44.64,50.32,34.08,51.56,44.93,43.28,46.38,39.01,37.85,39.36
29.28,36.74,34.9,37.43,34.28,36.0,35.17,37.09,33.63,32.11,34.53,27.96,26.84,28.22
24.33,33.47,31.69,34.11,31.52,32.92,35.77,33.89,30.72,29.13,31.45,23.17,21.85,23.44
24.88,38.35,7.58,41.76,35.82,37.54,37.75,38.76,34.72,32.6,35.57,22.1,20.37,22.06
