MAINE,NEWHAMPSHIRE,VERMONT,CONNECTICUT,RHODEISLAND,SEMASS,WCMASS,NEMASSBOST
34.32,35.3,34.66,35.43,35.9,35.67,35.59,35.74
37.14,38.18,37.86,38.57,38.81,38.54,38.62,38.59
20.3,20.97,20.88,21.23,21.32,21.18,21.25,21.18
17.35,18.22,18.11,18.46,18.52,18.4,18.47,18.39
7.13,7.46,7.39,7.53,7.57,7.52,7.55,7.52
16.87,17.73,17.64,17.89,17.99,17.88,17.94,17.88
10.2,10.7,10.63,10.77,10.84,10.78,10.81,10.77
-43.37,-44.23,-43.82,-44.41,-44.71,-44.43,-44.56,-44.46
-19.37,-19.69,-19.48,-19.73,-19.86,-19.74,-19.81,-19.77
18.63,19.25,18.98,19.38,19.49,19.38,19.43,19.41
11.96,12.12,11.9,12.18,12.28,12.21,12.22,12.22
2.51,2.55,2.51,2.57,2.59,2.57,2.57,2.57
11.06,11.33,11.24,11.34,11.41,11.32,11.35,11.36
10.76,11.27,11.22,11.28,11.32,11.24,11.29,11.29
17.26,18.05,17.91,18.11,18.14,18.04,18.11,18.1
15.63,16.27,16.09,16.31,16.3,16.28,16.34,16.33
17.54,18.24,17.82,18.3,18.26,18.33,18.35,18.38
24.14,25.1,24.3,25.0,25.05,25.2,25.19,25.27
21.83,22.78,22.23,22.81,22.72,22.85,22.89,22.92
21.16,22.12,21.64,22.2,22.07,22.18,22.23,22.25
22.33,23.33,22.82,23.51,23.32,23.42,23.51,23.49
19.19,20.15,19.94,20.35,20.19,20.26,20.34,20.29
18.06,19.04,18.99,19.28,19.18,19.18,19.25,19.18
16.91,17.75,17.7,17.89,17.89,17.86,17.92,17.87
3.52,3.63,3.62,3.66,3.66,3.65,3.67,3.66
0.46,0.57,0.57,0.57,0.57,0.57,0.57,0.57
18.26,18.81,18.66,18.72,18.94,18.84,18.87,18.88
22.12,22.48,22.31,22.35,22.64,22.53,22.55,22.57
18.54,18.79,18.62,18.65,18.89,18.82,18.84,18.86
16.48,16.67,16.49,16.46,16.59,16.63,16.66,16.7
29.79,29.98,29.6,29.36,29.53,29.72,29.81,29.91
30.73,30.81,30.28,30.14,30.24,30.42,30.59,30.72
25.81,25.87,25.41,25.34,25.45,25.56,25.69,25.81
22.33,22.22,21.77,21.81,21.83,21.9,22.04,22.16
24.98,24.74,24.25,24.3,24.14,24.21,24.44,24.55
25.85,25.65,25.21,25.23,24.97,25.09,25.33,25.41
24.46,24.35,23.93,23.95,23.71,23.85,24.04,24.12
25.17,24.99,24.53,24.58,24.32,24.49,24.68,24.77
26.22,25.96,25.43,25.48,25.24,25.46,25.64,25.74
31.2,30.8,30.26,30.16,29.78,30.09,30.38,30.45
37.34,36.67,35.8,35.75,35.45,35.83,36.12,36.29
41.13,40.45,39.26,39.33,39.27,39.7,39.8,40.22
70.45,69.23,67.11,67.31,67.11,67.85,68.05,68.79
34.61,33.86,32.72,33.01,32.98,33.3,33.33,33.71
29.91,29.24,28.31,28.61,28.54,28.77,28.89,29.13
29.55,28.9,27.99,28.35,28.37,28.49,28.66,28.84
26.53,26.08,25.34,25.49,25.69,25.71,25.84,26.01
25.41,25.08,24.22,24.47,24.76,24.8,24.85,25.03
25.64,25.41,24.58,24.77,25.03,25.12,25.22,25.37
24.38,24.14,23.38,23.52,23.77,23.85,23.94,24.1
23.08,22.92,22.28,22.39,22.63,22.67,22.77,22.89
20.91,20.83,20.33,20.41,20.63,20.66,20.74,20.83
21.22,21.37,20.82,20.91,21.16,21.22,21.27,21.38
25.75,25.96,25.17,25.31,25.57,25.65,25.75,25.92
34.72,34.55,33.56,33.6,33.91,34.02,34.2,34.48
33.56,33.34,32.41,32.43,32.74,32.89,32.97,33.27
35.89,35.98,34.97,35.02,35.37,35.5,35.58,35.87
39.72,39.89,38.88,38.73,39.06,39.23,39.32,39.66
42.12,41.79,40.81,40.49,40.73,40.91,41.02,41.38
27.68,27.32,26.72,26.51,26.6,26.7,26.79,27.01
25.2,24.86,24.35,24.16,24.26,24.36,24.43,24.62
25.55,25.27,24.81,24.61,24.71,24.83,24.88,25.08
29.17,28.93,28.48,28.25,28.31,28.44,28.56,28.73
33.27,32.94,32.36,32.1,32.15,32.31,32.49,32.67
39.01,38.76,37.88,37.81,38.03,38.26,38.38,38.66
28.29,28.15,27.31,27.45,27.73,27.93,27.89,28.2
30.98,30.88,29.95,30.01,30.41,30.64,30.59,30.93
25.88,25.59,24.77,24.77,25.14,25.32,25.29,25.59
25.61,25.29,24.49,24.5,24.87,25.05,25.01,25.29
26.32,26.11,25.49,25.38,25.67,25.82,25.82,26.06
23.36,23.26,22.77,22.77,23.02,23.13,23.07,23.25
