NY_CAPITL,NY_CENTRL,NY_DUNWOD,NY_GENESE,NY_HQ,NY_HUDSON_VALLEY,NY_LONG_ISLAND,NY_MHK VL,NY_MILLWD,N.Y.C.,NY_NORTH,NY_NPX,NY_OH,NY_PJM,NY_WEST
134.75,122.42,134.26,117.3,123.17,134.26,134.88,129.52,134.75,135.5,125.65,133.88,111.82,126.53,113.81
162.91,55.53,133.21,50.06,40.74,133.02,133.34,60.75,134.42,133.69,41.57,149.05,52.18,103.24,52.41
166.59,52.41,134.71,46.86,36.57,134.56,134.72,57.66,136.01,135.11,37.12,151.78,49.51,103.2,49.59
162.64,55.51,133.01,50.11,40.43,132.87,133.01,60.67,134.22,133.53,41.05,148.74,52.36,103.22,52.54
136.95,82.92,123.02,78.45,76.19,123.1,122.98,88.37,123.88,123.74,77.27,130.26,77.18,106.26,78.2
91.01,83.01,90.93,80.06,75.28,90.93,92.11,87.64,91.26,91.94,84.61,82.61,76.6,74.98,77.95
132.59,120.31,132.46,115.27,121.66,132.35,132.83,127.55,133.08,133.82,123.74,131.98,109.26,124.85,110.98
124.61,113.62,124.59,108.43,113.84,124.49,124.95,119.84,125.18,125.75,115.45,124.03,103.24,117.9,104.97
226.55,206.88,225.51,197.87,206.88,225.51,224.66,218.58,226.55,227.81,210.43,224.66,188.02,213.79,191.16
503.26,460.0,502.82,439.04,421.07,502.33,510.27,486.53,505.11,507.92,467.43,441.4,417.13,436.87,425.06
153.88,44.89,123.24,39.55,28.9,123.22,138.17,48.76,124.5,123.58,29.04,139.41,35.75,92.56,42.24
183.75,40.47,143.21,34.28,19.84,143.16,156.26,44.56,144.78,143.5,19.96,164.79,38.44,104.35,38.14
165.05,39.43,129.11,33.85,21.45,128.99,146.08,43.22,130.49,129.44,21.51,147.96,37.22,95.06,37.03
166.04,37.18,129.15,31.56,18.73,129.0,149.48,40.94,130.56,129.46,18.81,148.52,35.2,94.34,34.95
164.36,40.78,129.08,35.12,23.19,128.87,141.53,44.49,130.42,129.37,23.43,147.58,38.3,95.53,38.1
148.09,62.89,124.74,57.33,51.71,124.62,138.96,67.66,125.76,125.26,52.49,131.09,49.86,100.22,57.94
142.13,128.9,141.48,122.75,129.56,141.6,175.94,136.76,142.27,142.65,131.52,136.28,115.27,132.83,117.24
148.12,133.42,147.85,126.88,134.64,147.85,340.02,142.12,148.52,149.21,136.96,146.21,118.16,137.9,120.35
147.43,132.5,147.84,125.03,134.4,147.43,213.47,141.19,148.51,149.33,136.98,145.94,116.89,137.92,118.78
238.83,38.0,181.73,30.13,9.16,181.38,237.98,43.12,183.75,181.96,9.34,212.25,37.01,127.96,36.26
177.34,48.67,141.67,42.24,31.03,141.38,179.47,53.85,143.03,142.03,31.72,160.53,45.04,106.0,44.92
161.12,84.84,141.34,78.25,76.04,141.07,154.1,91.35,142.32,142.15,77.95,151.48,76.72,118.1,77.4
154.36,53.0,126.55,47.77,39.43,126.28,127.55,58.13,127.68,127.01,40.66,141.33,49.7,98.28,49.85
131.32,119.27,131.19,114.53,120.49,130.95,132.66,125.72,131.56,132.29,124.5,130.82,110.52,124.14,112.34
107.38,97.43,107.08,93.76,98.62,106.78,108.38,102.8,107.38,107.97,101.51,106.97,90.37,101.41,91.77
155.2,87.69,137.39,82.21,79.55,137.26,137.85,93.83,138.23,138.0,81.8,146.88,82.19,117.33,83.27
113.01,98.87,110.87,94.7,99.03,110.97,112.04,104.41,111.41,111.78,101.63,111.84,91.96,104.51,93.44
113.49,103.61,112.43,99.3,104.03,112.54,113.59,108.97,112.96,113.38,106.86,112.85,96.57,107.39,98.14
84.14,76.8,83.91,73.75,77.58,83.91,87.24,81.17,84.22,84.76,79.53,83.59,71.41,79.77,72.58
133.94,123.0,132.81,117.91,123.38,132.94,131.57,129.71,133.44,134.06,126.23,132.57,114.3,127.11,116.42
229.88,210.89,228.16,202.33,-150.13,228.6,225.18,223.26,229.46,243.56,216.43,-178.04,193.6,-145.44,197.43
130.25,118.55,130.38,112.63,119.88,130.25,145.86,125.79,130.97,170.33,122.05,118.5,106.72,125.65,108.65
130.85,119.03,130.49,113.01,119.51,130.49,146.17,126.15,131.09,174.59,121.81,129.53,107.7,129.22,109.75
271.22,244.3,271.22,232.08,246.54,270.72,272.71,259.99,271.96,298.4,251.77,269.35,219.36,254.26,223.35
255.37,156.22,230.16,145.65,144.39,230.02,228.17,166.31,231.56,255.98,147.17,242.18,142.0,199.33,144.11
192.35,46.97,151.66,40.83,26.63,151.36,163.08,50.6,153.1,186.21,27.17,168.37,45.1,112.34,44.95
165.16,49.77,133.35,44.53,33.74,133.05,144.3,53.13,134.48,170.33,34.28,150.06,47.37,101.68,47.54
171.92,49.54,137.96,44.02,32.07,137.65,150.49,52.63,139.18,163.61,32.37,155.89,47.32,104.47,47.48
184.7,45.36,145.75,39.56,25.24,145.36,157.51,48.21,147.09,176.22,25.32,166.44,43.74,107.97,43.68
181.33,49.67,144.93,43.91,31.1,144.52,157.1,52.8,146.2,170.2,31.35,157.17,47.43,109.02,47.55
130.55,118.89,132.24,114.06,118.89,131.76,145.42,125.38,132.61,159.8,119.24,126.63,108.89,124.9,111.42
180.92,89.21,157.31,79.25,73.2,156.83,179.05,91.09,158.34,182.14,73.05,170.26,66.29,123.19,124.62
209.51,61.63,169.11,54.68,40.37,168.68,184.88,65.44,170.58,204.93,40.29,193.06,58.27,128.39,58.51
