N_hour,capital.csv,central.csv,south.csv,nyc.csv,mo_valley.csv,north.csv,genesse.csv,west.csv,SE_MASSACHUSETTS.csv,WISCONSIN.csv,MINNESOTA.csv,TEXAS.csv,MICHIGAN.csv,NEW_HAMPSHIRE.csv,ARKANSAS.csv,S-DAKOTA.csv,MONTANA.csv,INDIANA.csv,BOSTON.csv,MISOURI.csv,CONNETICUT.csv,MAINE.csv,LOUISIANA.csv,N-DAKOTA.csv,RHODEISLAND.csv,WEST_MASSACHUSETTS.csv,ILLINOIS.csv,IOWA.csv,VERMONT.csv,MISSISIPI.csv
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,50,39,60,54,33,67,18,11,72,0,8,83,0,51,96,0,3,0,72,22,72,72,59,0,72,72,55,36,69,16
9.0,173,160,231,180,142,212,128,67,230,46,95,162,35,167,275,72,94,78,230,135,230,211,234,72,230,230,201,172,237,73
10.0,260,266,357,308,308,333,243,154,377,111,263,413,101,327,432,224,167,221,377,321,377,352,384,224,377,377,344,311,376,199
11.0,370,390,446,395,385,403,344,311,457,253,357,549,163,404,539,180,317,348,457,422,457,426,488,180,457,457,423,395,453,326
12.0,395,414,474,419,417,419,373,325,478,355,401,590,200,422,588,282,341,466,478,469,478,445,534,282,478,478,480,425,462,472
13.0,372,398,406,391,370,387,363,366,431,369,390,603,256,368,571,405,343,476,431,456,431,410,517,405,431,431,459,399,413,577
14.0,248,277,348,302,248,291,310,203,344,330,326,512,263,293,490,384,274,455,344,385,344,316,438,384,344,344,347,318,341,576
15.0,199,144,196,178,154,156,166,145,170,242,211,396,196,136,355,287,116,367,170,244,170,152,307,287,170,170,204,159,193,445
16.0,48,46,56,50,44,24,57,52,36,109,80,215,97,27,180,153,56,163,36,109,36,35,142,153,36,36,61,43,47,297
17.0,0,0,0,0,0,0,0,0,0,6,0,33,13,0,20,19,0,42,0,0,0,0,6,19,0,0,0,0,0,110
18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,49,42,62,54,23,66,14,10,71,0,7,102,0,46,25,0,1,0,71,26,71,77,53,0,71,71,59,28,67,10
33.0,170,180,227,179,96,191,75,74,225,27,87,297,58,155,65,58,72,82,225,138,225,208,229,58,225,225,212,153,209,52
34.0,291,244,343,307,200,304,136,90,345,105,185,383,145,318,131,141,204,241,345,314,345,345,377,141,345,345,334,293,345,111
35.0,374,311,384,390,157,380,170,98,397,270,255,374,295,378,250,131,300,394,397,392,397,418,479,131,397,397,340,366,408,208
