"C","Real-Time Energy Market Hourly LMP Report"
"C","Filename: lmp_rt_final_20190122.csv"
"C","Report for: 01/22/2019 - 01/22/2019"
"C","Report generated: 03/30/2020 17:51:59 EDT"
"H","Date","Hour Ending","Location ID","Location Name","Location Type","Locational Marginal Price","Energy Component","Congestion Component","Marginal Loss Component"
"H","Date","HE","String","String","String","Number","Number","Number","Number"
"D","01/22/2019",01,"321","UN.FRNKLNSQ13.810CC","NETWORK NODE",129.84,128.78,0.27,0.79
"D","01/22/2019",01,"322","UN.FRNKLNSQ13.811CC","NETWORK NODE",129.84,128.78,0.27,0.79
"D","01/22/2019",01,"323","UN.FRNKLNSQ13.89CC","NETWORK NODE",129.84,128.78,0.27,0.79
"D","01/22/2019",01,"324","UN.CDEC    13.8AETN","NETWORK NODE",130.93,128.78,0.27,1.88
"D","01/22/2019",01,"326","UN.ALTRESCO13.8ALTR","NETWORK NODE",129.17,128.78,0.27,0.12
"D","01/22/2019",01,"327","UN.EDDY    34.5AMOS","NETWORK NODE",125.83,128.78,0.27,-3.22
"D","01/22/2019",01,"328","UN.GULFISLD34.5GULF","NETWORK NODE",125.83,128.78,0.27,-3.22
"D","01/22/2019",01,"329","UN.ASCUTNEY46  ASCU","NETWORK NODE",130.0,128.78,0.27,0.95
"D","01/22/2019",01,"330","UN.PEMIGWAS34.5AYER","NETWORK NODE",126.67,128.78,0.27,-2.38
"D","01/22/2019",01,"331","UN.ROXBURY 34.5AZIS","NETWORK NODE",122.43,128.78,0.27,-6.62
"D","01/22/2019",01,"335","UN.BELLWSFL6.9 BELL","NETWORK NODE",130.28,128.78,0.27,1.23
"D","01/22/2019",01,"336","UN.BERLINVT34.5BERL","NETWORK NODE",126.49,128.78,0.27,-2.56
"D","01/22/2019",01,"337","UN.WHITEFLD34.5BETH","NETWORK NODE",118.35,128.78,0.27,-10.7
"D","01/22/2019",01,"340","UN.PEQUONCK22.0BHR3","NETWORK NODE",128.88,128.78,0.27,-0.17
"D","01/22/2019",01,"341","UN.PEQUONCK13.8BHR4","NETWORK NODE",128.88,128.78,0.27,-0.17
"D","01/22/2019",01,"345","UN.CATALYST115 BOIS","NETWORK NODE",122.43,128.78,0.27,-6.62
"D","01/22/2019",01,"346","UN.MIDDLESX34.5BOLT","NETWORK NODE",126.74,128.78,0.27,-2.31
"D","01/22/2019",01,"348","UN.PERRY_ST13.8BOOT","NETWORK NODE",127.62,128.78,0.27,-1.43
"D","01/22/2019",01,"349","UN.BPT_RESC13.8BPTR","NETWORK NODE",128.97,128.78,0.27,-0.08
"D","01/22/2019",01,"355","UN.BRANFORD23  BRAN","NETWORK NODE",130.72,128.78,0.27,1.67
"D","01/22/2019",01,"356","UN.FORESTVL13.8BRF","NETWORK NODE",130.29,128.78,0.27,1.24
"D","01/22/2019",01,"357","UN.ASHLAND 34.5BRID","NETWORK NODE",126.04,128.78,0.27,-3.01
"D","01/22/2019",01,"358","UN.TOPSHAM 34.5BRUN","NETWORK NODE",126.73,128.78,0.27,-2.32
"D","01/22/2019",01,"359","UN.BEARSWMP13.8BSW1","NETWORK NODE",128.6,128.78,0.27,-0.45
"D","01/22/2019",01,"360","UN.BEARSWMP13.8BSW2","NETWORK NODE",128.6,128.78,0.27,-0.45
