"C","Real-Time Energy Market Hourly LMP Report"
"C","Filename: lmp_rt_final_20191219.csv"
"C","Report for: 12/19/2019 - 12/19/2019"
"C","Report generated: 12/20/2019 11:56:10 EST"
"H","Date","Hour Ending","Location ID","Location Name","Location Type","Locational Marginal Price","Energy Component","Congestion Component","Marginal Loss Component"
"H","Date","HE","String","String","String","Number","Number","Number","Number"
"D","12/19/2019",01,"321","UN.FRNKLNSQ13.810CC","NETWORK NODE",79.38,78.3,0.06,1.02
"D","12/19/2019",01,"322","UN.FRNKLNSQ13.811CC","NETWORK NODE",79.38,78.3,0.06,1.02
"D","12/19/2019",01,"323","UN.FRNKLNSQ13.89CC","NETWORK NODE",79.38,78.3,0.06,1.02
"D","12/19/2019",01,"324","UN.CDEC    13.8AETN","NETWORK NODE",80.39,78.3,0.06,2.03
"D","12/19/2019",01,"326","UN.ALTRESCO13.8ALTR","NETWORK NODE",77.07,78.3,0.06,-1.29
"D","12/19/2019",01,"327","UN.EDDY    34.5AMOS","NETWORK NODE",76.34,78.3,0.06,-2.02
"D","12/19/2019",01,"328","UN.GULFISLD34.5GULF","NETWORK NODE",74.47,78.3,0.06,-3.89
"D","12/19/2019",01,"329","UN.ASCUTNEY46  ASCU","NETWORK NODE",78.55,78.3,0.06,0.19
"D","12/19/2019",01,"330","UN.PEMIGWAS34.5AYER","NETWORK NODE",75.27,78.3,0.06,-3.09
"D","12/19/2019",01,"331","UN.ROXBURY 34.5AZIS","NETWORK NODE",72.84,78.3,0.06,-5.52
"D","12/19/2019",01,"335","UN.BELLWSFL6.9 BELL","NETWORK NODE",77.88,78.3,0.06,-0.48
"D","12/19/2019",01,"336","UN.BERLINVT34.5BERL","NETWORK NODE",76.56,78.3,0.06,-1.8
"D","12/19/2019",01,"337","UN.WHITEFLD34.5BETH","NETWORK NODE",72.24,78.3,0.06,-6.12
"D","12/19/2019",01,"340","UN.PEQUONCK22.0BHR3","NETWORK NODE",78.15,78.3,0.06,-0.21
"D","12/19/2019",01,"341","UN.PEQUONCK13.8BHR4","NETWORK NODE",78.15,78.3,0.06,-0.21
"D","12/19/2019",01,"345","UN.CATALYST115 BOIS","NETWORK NODE",72.84,78.3,0.06,-5.52
"D","12/19/2019",01,"346","UN.MIDDLESX34.5BOLT","NETWORK NODE",76.68,78.3,0.06,-1.68
"D","12/19/2019",01,"348","UN.PERRY_ST13.8BOOT","NETWORK NODE",77.9,78.3,0.06,-0.46
"D","12/19/2019",01,"349","UN.BPT_RESC13.8BPTR","NETWORK NODE",78.14,78.3,0.06,-0.22
"D","12/19/2019",01,"355","UN.BRANFORD23  BRAN","NETWORK NODE",79.59,78.3,0.06,1.23
"D","12/19/2019",01,"356","UN.FORESTVL13.8BRF","NETWORK NODE",79.8,78.3,0.06,1.44
"D","12/19/2019",01,"357","UN.ASHLAND 34.5BRID","NETWORK NODE",74.48,78.3,0.06,-3.88
"D","12/19/2019",01,"358","UN.TOPSHAM 34.5BRUN","NETWORK NODE",74.95,78.3,0.06,-3.41
"D","12/19/2019",01,"359","UN.BEARSWMP13.8BSW1","NETWORK NODE",76.79,78.3,0.06,-1.57
"D","12/19/2019",01,"360","UN.BEARSWMP13.8BSW2","NETWORK NODE",76.79,78.3,0.06,-1.57
"D","12/19/2019",01,"362","UN.BULLSBDG27.6BULL","NETWORK NODE",78.31,78.3,0.06,-0.05
"D","12/19/2019",01,"363","UN.QUEENCTY13.8BURL","NETWORK NODE",77.43,78.3,0.06,-0.93
"D","12/19/2019",01,"365","UN.CANAL   18.0CAN1","NETWORK NODE",80.0,78.3,0.06,1.64
"D","12/19/2019",01,"366","UN.CANAL   18.0CAN2","NETWORK NODE",80.0,78.3,0.06,1.64
"D","12/19/2019",01,"367","UN.CAPE    13.2CAP4","NETWORK NODE",76.17,78.3,0.06,-2.19
"D","12/19/2019",01,"368","UN.CAPE    13.2CAP5","NETWORK NODE",76.17,78.3,0.06,-2.19
"D","12/19/2019",01,"369","UN.LOUDEN  34.5CATR","NETWORK NODE",75.99,78.3,0.06,-2.37
"D","12/19/2019",01,"370","UN.COSCOB  13.8CC10","NETWORK NODE",78.62,78.3,0.06,0.26
"D","12/19/2019",01,"371","UN.COSCOB  13.8CC11","NETWORK NODE",78.62,78.3,0.06,0.26
"D","12/19/2019",01,"372","UN.COSCOB  13.8CC12","NETWORK NODE",78.62,78.3,0.06,0.26
"D","12/19/2019",01,"375","UN.TAUNTON 13.8CL9C","NETWORK NODE",81.01,78.3,0.06,2.65
"D","12/19/2019",01,"376","UN.TAUNTON 13.8CLE8","NETWORK NODE",81.01,78.3,0.06,2.65
"D","12/19/2019",01,"379","UN.COBBLEMT69  COBB","NETWORK NODE",80.35,78.3,0.06,1.99
"D","12/19/2019",01,"382","UN.MERIMACK13.8CT-1","NETWORK NODE",75.73,78.3,0.06,-2.63
"D","12/19/2019",01,"383","UN.MERIMACK13.8CT-2","NETWORK NODE",75.73,78.3,0.06,-2.63
"D","12/19/2019",01,"388","UN.DARTMTH 13.8DART","NETWORK NODE",81.64,78.3,0.06,3.28
"D","12/19/2019",01,"389","UN.INDIAN  13.8DERB","NETWORK NODE",78.18,78.3,0.06,-0.18
"D","12/19/2019",01,"393","UN.DEERFLD569  DFL5","NETWORK NODE",76.35,78.3,0.06,-2.01
"D","12/19/2019",01,"395","UN.DOREEN  23  DORE","NETWORK NODE",77.07,78.3,0.06,-1.29
"D","12/19/2019",01,"396","UN.DEVON   13.8DV10","NETWORK NODE",78.21,78.3,0.06,-0.15
"D","12/19/2019",01,"397","UN.DEVON   13.2DV11","NETWORK NODE",77.91,78.3,0.06,-0.45
"D","12/19/2019",01,"398","UN.DEVON   13.2DV12","NETWORK NODE",77.91,78.3,0.06,-0.45
"D","12/19/2019",01,"399","UN.DEVON   13.2DV13","NETWORK NODE",77.91,78.3,0.06,-0.45
"D","12/19/2019",01,"400","UN.DEVON   13.2DV14","NETWORK NODE",77.91,78.3,0.06,-0.45
"D","12/19/2019",01,"401","UN.WEBSTER 34.5EAST","NETWORK NODE",76.17,78.3,0.06,-2.19
"D","12/19/2019",01,"405","UN.ELLSWRTH34.5ELLS","NETWORK NODE",73.02,78.3,0.06,-5.34
"D","12/19/2019",01,"407","UN.WASHNGTN34.5EPTD","NETWORK NODE",72.97,78.3,0.06,-5.39
"D","12/19/2019",01,"410","UN.ESSEX   34.5ESSH","NETWORK NODE",76.55,78.3,0.06,-1.81
"D","12/19/2019",01,"412","UN.FALSVL  69  FALS","NETWORK NODE",78.16,78.3,0.06,-0.2
"D","12/19/2019",01,"413","UN.DEERFLD569  FIFE","NETWORK NODE",76.35,78.3,0.06,-2.01
"D","12/19/2019",01,"417","UN.FRAMNGHM13.8FMJ1","NETWORK NODE",79.82,78.3,0.06,1.46
"D","12/19/2019",01,"418","UN.FRAMNGHM13.8FMJ2","NETWORK NODE",79.82,78.3,0.06,1.46
"D","12/19/2019",01,"419","UN.FRAMNGHM13.8FMJ3","NETWORK NODE",79.82,78.3,0.06,1.46
"D","12/19/2019",01,"420","UN.FRNKLNDR13.2FRDR","NETWORK NODE",79.65,78.3,0.06,1.29
"D","12/19/2019",01,"421","UN.CHICOPEE13.8FRST","NETWORK NODE",80.16,78.3,0.06,1.8
"D","12/19/2019",01,"424","UN.POWERSVL115 GNRT","NETWORK NODE",71.22,78.3,0.06,-7.14
"D","12/19/2019",01,"426","UN.ESSEX   34.5GORD","NETWORK NODE",76.55,78.3,0.06,-1.81
"D","12/19/2019",01,"427","UN.BERLN_NH34.5GORH","NETWORK NODE",28.27,78.3,-39.67,-10.36
"D","12/19/2019",01,"432","UN.HARRIS  13.2HAR1","NETWORK NODE",70.13,78.3,0.06,-8.23
"D","12/19/2019",01,"433","UN.HARRIS  13.2HAR2","NETWORK NODE",70.13,78.3,0.06,-8.23
"D","12/19/2019",01,"434","UN.HARRIS  13.2HAR3","NETWORK NODE",70.13,78.3,0.06,-8.23
"D","12/19/2019",01,"435","UN.HARRIMAN6.9 HARR","NETWORK NODE",77.0,78.3,0.06,-1.36
"D","12/19/2019",01,"436","UN.NORTH_RD34.5HEMP","NETWORK NODE",78.84,78.3,0.06,0.48
"D","12/19/2019",01,"440","UN.W_BUXTON34.5HIRM","NETWORK NODE",75.97,78.3,0.06,-2.39
"D","12/19/2019",01,"445","UN.ENFLD_ME115 IND5","NETWORK NODE",71.57,78.3,0.06,-6.79
