NY_CAPITL,NY_CENTRL,NY_DUNWOD,NY_GENESE,NY_HQ,NY_HUDSON_VALLEY,NY_LONG_ISLAND,NY_MHKVL,NY_MILLWD,N.Y.C.,NY_NORTH,NY_NPX,NY_OH,NY_PJM,NY_WEST,MINNESOTA,MICHIGAN,ILLINOIS,INDIANA,ARKANSAS,MISSISIPI,TEXAS,LOUISIANA,MISOURI,IOWA,WISCONSIN,N-DAKOTA,S-DAKOTA,MONTANA,TX_AEN,TX_CPS,TX_HOUSTON,TX_LCRA,TX_NORTH,TX_RAYBN,TX_SOUTH,TX_WEST,MAINE,NEW_HAMPSHIRE,VERMONT,CONNETICUT,RHODEISLAND,SE_MASSACHUSETTS,WEST_MASSACHUSETTS,BOSTON
97680.50088157361,84687.26116289121,105292.51670828834,82772.06638692654,72065.50884511127,102050.47202331366,128865.05891174987,85730.25340372982,104132.0423303654,117651.23736453087,74441.72489567817,104308.06305613295,76888.41008732573,91804.86043503639,100762.34078461351,77758.9634132768,104902.6115013798,100422.74408030207,112801.54950752859,106016.60917481384,149951.88292814538,119428.65220247842,130708.34367413071,87611.10681692368,82207.29184062763,98333.54175413043,79040.35887154465,79817.26082367264,77416.21499468363,105248.8064575661,111285.815486553,138095.76477285754,108062.28494375772,99606.36109915144,97237.08917614724,131988.97910018542,99643.5818019765,76097.0135543834,73182.92881809293,74365.55693249294,73598.67447464717,74527.07110253208,75173.03856675519,74738.18215165881,75676.69383060647
97131.83931324312,83609.39793906672,104049.12612704256,82598.80060105454,70664.78448706279,100589.50833485778,126188.80281469521,85169.86188580043,103384.82148011345,117037.11696511085,73769.20927690779,104041.73152882823,76130.12216655447,92122.85375596979,98816.53253815188,77611.89741568944,104071.03854126643,100707.29629717431,112516.56998963823,106195.95436048343,149403.31946838505,118475.56279350615,130026.37326599813,86415.31698512156,81158.45807078475,97603.75770207627,78481.25260861457,78581.27282146063,77260.4724061955,104887.72414011338,110401.0181515229,137710.34480129514,106276.15817639494,97948.61071840106,95866.34056157438,130748.71978446507,98923.52280660803,75236.68569880204,72577.12701344778,73746.56855783799,73488.23876083428,73701.68920571965,74338.97178678309,74240.95200705872,75075.40209441356
95982.0675534082,82751.8555937756,103153.9958462941,82174.81632572418,70171.65998618028,100568.84846881001,127217.74370221031,84235.81218728317,102007.74882484255,115951.47129361144,73067.27686151014,104109.31919324107,76268.40477536518,90490.33100344891,98182.71052990126,76472.1514378967,103199.18799258908,100052.57898316083,111602.05704304634,104910.28509716486,148013.4114628946,117875.63743689467,128704.08639134478,85923.79529641072,80815.22791473175,96817.43498432482,77772.56124594294,78917.8376021192,76818.11745814838,103945.34311817148,109078.53189283596,136175.0758570818,106326.08168900982,97553.16766713557,95587.27659834994,130649.41970974671,97928.5202761904,74644.83502674618,71539.20550672225,73019.00201227072,72786.0124681162,73460.4458752998,73677.0276065555,73577.9901856918,74534.23730501567
95548.43595562539,82896.30986785099,102768.77276213921,81347.27964364988,70395.93046865905,100158.18282378861,125140.39467535082,83618.40994542574,100835.41246971027,114672.10083895137,73205.54948081504,102416.90599238647,75585.84331547828,90003.48736560949,98840.8252790314,75927.19683660619,103100.70418175707,99243.62301748662,110986.61777283136,104203.71447103341,147388.6224645581,116271.67930896222,127503.23885875876,84773.09672741496,80543.81162738614,95683.04005505439,77601.05395123932,78310.65516980717,75848.02642873893,103197.03194986888,108601.48068874335,136167.79747970813,106338.66645595004,97445.77973059352,94884.06437654898,129529.3035851789,97612.28053898801,74202.57699753474,71378.8524167696,72903.63924097197,72488.77024439964,73156.55371507576,73567.70502329702,73096.69573089517,73896.09724116363
94873.74746735072,82080.44805522196,102838.78797275155,81152.72688967179,69804.44052449029,99225.37646770818,125668.62513628071,82804.27265250808,100695.75124953526,114665.02762339819,72420.23408837419,101245.79101443708,75101.7845146449,89997.33436175321,97190.22913932674,75294.53139714734,101796.806240159,97624.8874614754,109375.55635335865,103420.09574633658,144968.15677446377,115439.77142766317,127612.4668822171,84595.69547931879,79716.16586021158,95735.3138556078,76650.27088758057,77432.69339634823,75071.3523542874,103287.50124268804,108055.9959155119,133893.00733632405,104747.92792324627,96686.7196372281,94485.73887590168,128019.94963101181,97053.67594851555,73446.39438974006,71174.0700900332,71830.89202491085,71938.58863532507,72419.43691834554,72959.1399209673,72578.02223658876,73455.1996542007
94786.57781894295,81247.13918037694,101099.62327744484,80341.79874280308,68140.69928180745,97627.95501633245,123709.74349963003,82092.98450141537,100089.68726583425,113628.19207991783,71278.88883284018,101350.95488239927,74372.59196367441,89995.12652798083,94619.83891150338,74469.14881068582,100335.82804179532,97356.41797364464,109407.58009668882,102264.8866030887,144772.42463012665,114826.18608731033,125799.14931878701,84177.40319672709,79318.5590567518,94472.78926050868,76634.9557831701,77049.47451376446,74418.32842242187,101487.7507313858,106586.18728010454,134291.05238698973,103869.58712430233,96056.01134931296,94371.00753600798,127834.01930022117,96146.25971820111,73178.33490094356,70417.14470424765,71881.73705419734,71471.64645298207,71514.89540347178,72318.96717971345,71925.14716037243,72996.3515521916
94284.03226313858,80488.52327886103,101200.188538826,79735.47971852662,68122.24940782128,97915.93354908943,122137.3348964389,82372.80328436232,99066.88427805179,113269.41378831821,71547.28790531939,99458.68710433909,73687.27908513037,89173.93642223802,94402.97624811064,74496.64010054301,100315.20821562,96196.20016980136,107819.21950499719,102088.06116121859,143872.48166988615,114069.87632238028,125046.50131003086,83695.86934674697,78788.8111858625,94382.11796745371,75601.202724959,76253.91483505699,74253.44761408854,100395.79487195998,105889.96784364124,132754.55605196775,103643.56571687586,95248.82566609867,93048.75788873015,126843.16455850599,95380.71621657317,72278.63368201422,69512.52436605631,70866.29295291899,70380.4121932338,71247.1272926131,71999.20710038689,71472.27632244483,72435.62379814527
93398.78519931906,80394.46822115268,100189.27142072428,79231.11592406356,67742.28372077092,97001.78421190259,122629.27727958014,81107.0349797415,99759.44737451791,111346.11995866486,70219.48763453653,99769.96344340938,73009.9343343137,86994.77345221149,94661.65573031093,73099.89486688389,99737.41767850172,95358.05086475429,107351.17239163289,100932.56724233433,142828.74877497225,113772.80498259763,124238.36091020206,82456.50409915193,78140.19966793768,93820.28178189791,75377.77086335016,75282.02022867407,73352.67254416339,100373.52750628276,105798.01052527377,130877.00171558585,102555.54287899446,94367.23616382226,92286.28716609688,125160.74029477712,94399.3949721238,71895.4434839131,69397.11583320839,70164.91076447342,70271.84961689508,70451.02940486648,71369.25565918165,71153.7839408231,71654.3139528643
92416.62700680923,79414.7729259735,99182.03399678733,78556.97715749398,66725.30490159166,96022.27610974907,120716.33520277112,80911.16160372952,97352.06731330894,111022.36044927454,69630.45479971475,98544.09750005505,72807.6615055808,87605.83594183906,92810.27472054664,72937.10771223804,98538.76822881178,95296.42203507331,105914.98648278369,100031.85008553474,141730.74058802883,112069.54519297759,122609.78044937164,82247.75031914849,77389.30222402816,92935.70970085745,74427.0955376819,75225.07725480774,72835.1668977654,99455.8223999051,104917.4022148938,130770.87234730372,102172.98170648712,94005.73026806673,91695.8554467162,123894.1584809243,94385.52105501435,71701.29327364576,68756.54022384383,69957.86112104022,69708.07408783995,69646.28712037182,70658.09230361559,70635.35242332568,70858.74206738503
92382.24482156785,79166.77626151673,99068.04998936245,77789.76386237328,66663.4825239821,95196.69134453914,120725.97417810628,80457.60804994084,97137.36842127395,109438.228558372,69322.10710330978,97899.0184545113,72237.63635191033,86408.71048097349,91595.12766417356,72617.38090485793,98583.88632901348,94180.47247732551,105932.1269830665,99260.84049312117,141728.0095552669,111993.709139429,122387.81120915967,81437.61596841409,76733.01542933728,91856.34422692642,73913.89192742626,74798.97071468116,71949.94444865346,99359.85716722162,103852.3357717912,129658.20662289677,100963.43556172067,92996.0627852355,90566.72799163163,124265.70363838351,93680.48680498108,70965.85199169611,68487.18105481396,69335.03131700565,69192.47315115861,69412.01835689903,69572.48272527235,70107.47820323765,70797.85658682526
