Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,789783,-,-,-,34.97,-92.7,-6,98,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2018,1,1,0,0,0,-16.3,0.12,2.8000000000000003,52.34,-8.3,1021
2018,1,1,0,30,0,-16.3,0.12,2.7,53.160000000000004,-8.5,1021
2018,1,1,1,0,0,-16.7,0.12,2.7,52.24,-8.700000000000001,1022
2018,1,1,1,30,0,-16.7,0.12,2.6,53.47,-9.0,1022
2018,1,1,2,0,0,-17.0,0.12,2.5,53.17,-9.200000000000001,1022
2018,1,1,2,30,0,-17.0,0.12,2.5,54.44,-9.5,1022
2018,1,1,3,0,0,-17.2,0.12,2.5,54.75,-9.8,1022
2018,1,1,3,30,0,-17.2,0.12,2.5,56.11,-10.100000000000001,1023
2018,1,1,4,0,0,-17.400000000000002,0.12,2.5,57.0,-10.5,1023
2018,1,1,4,30,0,-17.400000000000002,0.12,2.4000000000000004,58.38,-10.8,1023
2018,1,1,5,0,0,-17.5,0.12,2.3000000000000003,59.01,-11.100000000000001,1023
2018,1,1,5,30,0,-17.5,0.12,2.2,60.5,-11.4,1024
2018,1,1,6,0,0,-17.6,0.12,2.1,61.36,-11.700000000000001,1024
2018,1,1,6,30,0,-17.6,0.12,2.0,62.35,-11.9,1024
2018,1,1,7,0,0,-17.7,0.12,2.0,62.85,-12.100000000000001,1025
2018,1,1,7,30,21,-17.7,0.12,2.1,60.870000000000005,-11.700000000000001,1025
2018,1,1,8,0,96,-18.2,0.12,2.3000000000000003,57.300000000000004,-11.4,1025
2018,1,1,8,30,186,-18.2,0.12,2.3000000000000003,53.81,-10.600000000000001,1026
2018,1,1,9,0,275,-18.400000000000002,0.12,2.2,50.03,-9.9,1026
2018,1,1,9,30,358,-18.400000000000002,0.12,2.1,46.980000000000004,-9.1,1026
2018,1,1,10,0,432,-18.3,0.12,2.0,44.21,-8.200000000000001,1026
2018,1,1,10,30,492,-18.3,0.12,1.9000000000000001,41.550000000000004,-7.4,1026
2018,1,1,11,0,539,-18.0,0.12,1.8,40.14,-6.7,1025
2018,1,1,11,30,571,-18.0,0.12,1.8,38.050000000000004,-6.0,1025
2018,1,1,12,0,588,-17.8,0.12,1.7000000000000002,37.1,-5.4,1024
2018,1,1,12,30,587,-17.8,0.12,1.7000000000000002,35.95,-5.0,1023
2018,1,1,13,0,571,-17.6,0.12,1.7000000000000002,35.51,-4.6000000000000005,1023
2018,1,1,13,30,538,-17.6,0.12,1.7000000000000002,34.980000000000004,-4.4,1023
2018,1,1,14,0,490,-17.5,0.12,1.7000000000000002,34.59,-4.2,1022
2018,1,1,14,30,429,-17.5,0.12,1.7000000000000002,34.85,-4.3,1022
2018,1,1,15,0,355,-17.6,0.12,1.7000000000000002,34.88,-4.4,1022
2018,1,1,15,30,269,-17.6,0.12,1.5,36.22,-4.9,1022
2018,1,1,16,0,180,-16.6,0.12,1.3,40.95,-5.4,1022
2018,1,1,16,30,92,-16.6,0.12,1.0,44.53,-6.5,1022
2018,1,1,17,0,20,-12.600000000000001,0.12,0.7000000000000001,67.83,-7.7,1022
2018,1,1,17,30,0,-12.600000000000001,0.12,0.7000000000000001,67.83,-7.7,1022
2018,1,1,18,0,0,-13.200000000000001,0.12,0.8,68.59,-8.5,1022
2018,1,1,18,30,0,-13.200000000000001,0.12,0.8,70.21000000000001,-8.8,1022
2018,1,1,19,0,0,-13.700000000000001,0.12,0.8,69.7,-9.200000000000001,1022
2018,1,1,19,30,0,-13.700000000000001,0.12,0.8,70.81,-9.4,1022
2018,1,1,20,0,0,-14.0,0.12,0.8,70.66,-9.700000000000001,1022
2018,1,1,20,30,0,-14.0,0.12,0.8,72.35000000000001,-10.0,1022
2018,1,1,21,0,0,-14.3,0.12,0.8,72.06,-10.200000000000001,1022
2018,1,1,21,30,0,-14.3,0.12,0.8,73.21000000000001,-10.4,1022
2018,1,1,22,0,0,-14.4,0.12,0.8,73.98,-10.700000000000001,1022
2018,1,1,22,30,0,-14.4,0.12,0.8,74.57000000000001,-10.8,1022
2018,1,1,23,0,0,-14.5,0.12,0.8,75.10000000000001,-11.0,1022
2018,1,1,23,30,0,-14.5,0.12,0.8,75.10000000000001,-11.0,1022
2018,1,2,0,0,0,-14.600000000000001,0.12,0.8,74.28,-10.9,1022
2018,1,2,0,30,0,-14.600000000000001,0.12,0.9,73.69,-10.8,1022
2018,1,2,1,0,0,-14.700000000000001,0.12,1.0,72.06,-10.600000000000001,1022
2018,1,2,1,30,0,-14.700000000000001,0.12,1.1,72.06,-10.600000000000001,1022
2018,1,2,2,0,0,-15.200000000000001,0.12,1.3,68.54,-10.5,1022
2018,1,2,2,30,0,-15.200000000000001,0.12,1.5,69.08,-10.600000000000001,1022
2018,1,2,3,0,0,-16.7,0.12,1.8,60.68,-10.600000000000001,1023
2018,1,2,3,30,0,-16.7,0.12,1.8,60.620000000000005,-10.600000000000001,1022
2018,1,2,4,0,0,-17.400000000000002,0.12,1.8,57.61,-10.700000000000001,1022
2018,1,2,4,30,0,-17.400000000000002,0.12,1.8,57.61,-10.700000000000001,1022
2018,1,2,5,0,0,-17.7,0.12,1.7000000000000002,56.32,-10.700000000000001,1022
2018,1,2,5,30,0,-17.7,0.12,1.7000000000000002,56.32,-10.700000000000001,1022
2018,1,2,6,0,0,-17.8,0.12,1.7000000000000002,55.94,-10.700000000000001,1022
2018,1,2,6,30,0,-17.8,0.12,1.6,55.94,-10.700000000000001,1022
2018,1,2,7,0,0,-17.900000000000002,0.12,1.6,55.6,-10.700000000000001,1022
2018,1,2,7,30,6,-17.900000000000002,0.12,1.6,54.300000000000004,-10.4,1022
2018,1,2,8,0,25,-18.0,0.12,1.6,52.68,-10.200000000000001,1022
2018,1,2,8,30,54,-18.0,0.12,1.6,50.64,-9.700000000000001,1022
2018,1,2,9,0,65,-18.2,0.12,1.5,48.36,-9.3,1022
2018,1,2,9,30,83,-18.2,0.12,1.5,46.87,-8.9,1022
2018,1,2,10,0,131,-18.1,0.12,1.4000000000000001,45.37,-8.4,1022
2018,1,2,10,30,206,-18.1,0.12,1.3,43.6,-7.9,1021
2018,1,2,11,0,250,-17.900000000000002,0.12,1.2000000000000002,43.050000000000004,-7.5,1021
2018,1,2,11,30,340,-17.900000000000002,0.12,1.0,41.38,-7.0,1020
2018,1,2,12,0,353,-17.7,0.12,0.9,40.93,-6.6000000000000005,1019
