Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,793549,-,-,-,38.77,-92.5,-6,251,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2018,1,1,0,0,0,-23.8,0.14,3.3000000000000003,64.18,-18.7,1012
2018,1,1,0,30,0,-23.8,0.14,3.3000000000000003,65.91,-19.0,1013
2018,1,1,1,0,0,-24.400000000000002,0.14,3.2,64.36,-19.400000000000002,1013
2018,1,1,1,30,0,-24.400000000000002,0.14,3.2,66.04,-19.700000000000003,1013
2018,1,1,2,0,0,-25.0,0.14,3.2,64.12,-20.0,1013
2018,1,1,2,30,0,-25.0,0.14,3.1,65.81,-20.3,1013
2018,1,1,3,0,0,-25.6,0.14,3.1,64.42,-20.6,1013
2018,1,1,3,30,0,-25.6,0.14,3.0,66.13,-20.900000000000002,1013
2018,1,1,4,0,0,-25.900000000000002,0.14,3.0,65.16,-21.1,1014
2018,1,1,4,30,0,-25.900000000000002,0.14,2.9000000000000004,66.89,-21.400000000000002,1014
2018,1,1,5,0,0,-26.200000000000003,0.14,2.9000000000000004,66.38,-21.6,1014
2018,1,1,5,30,0,-26.200000000000003,0.14,2.9000000000000004,66.96000000000001,-21.700000000000003,1014
2018,1,1,6,0,0,-26.400000000000002,0.14,2.8000000000000003,67.17,-21.900000000000002,1014
2018,1,1,6,30,0,-26.400000000000002,0.14,2.8000000000000003,67.76,-22.0,1014
2018,1,1,7,0,0,-26.5,0.14,2.7,67.55,-22.1,1014
2018,1,1,7,30,8,-26.5,0.14,2.7,65.79,-21.8,1014
2018,1,1,8,0,59,-26.400000000000002,0.14,2.7,64.6,-21.5,1015
2018,1,1,8,30,150,-26.400000000000002,0.14,2.7,60.77,-20.8,1015
2018,1,1,9,0,234,-26.1,0.14,2.7,58.620000000000005,-20.1,1015
2018,1,1,9,30,314,-26.1,0.14,2.6,54.25,-19.200000000000003,1015
2018,1,1,10,0,384,-25.8,0.14,2.5,51.910000000000004,-18.3,1015
