Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,962573,-,-,-,42.85,-84.74,-5,244,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2018,1,1,0,0,0,-16.0,0.51,2.7,81.96000000000001,-13.600000000000001,1002
2018,1,1,0,30,0,-16.0,0.51,2.8000000000000003,83.31,-13.8,1002
2018,1,1,1,0,0,-16.400000000000002,0.51,2.8000000000000003,81.96000000000001,-14.0,1002
2018,1,1,1,30,0,-16.400000000000002,0.51,2.9000000000000004,84.0,-14.3,1002
2018,1,1,2,0,0,-16.8,0.51,2.9000000000000004,82.58,-14.5,1002
2018,1,1,2,30,0,-16.8,0.51,3.1,83.26,-14.600000000000001,1002
2018,1,1,3,0,0,-17.1,0.51,3.2,81.98,-14.700000000000001,1002
2018,1,1,3,30,0,-17.1,0.51,3.5,81.31,-14.600000000000001,1002
2018,1,1,4,0,0,-17.1,0.51,3.7,79.81,-14.4,1002
2018,1,1,4,30,0,-17.1,0.51,3.9000000000000004,79.16,-14.3,1002
2018,1,1,5,0,0,-17.3,0.51,4.1000000000000005,76.74,-14.100000000000001,1002
2018,1,1,5,30,0,-17.3,0.51,4.1000000000000005,77.38,-14.200000000000001,1002
2018,1,1,6,0,0,-17.7,0.51,4.1000000000000005,75.10000000000001,-14.3,1003
2018,1,1,6,30,0,-17.7,0.51,3.9000000000000004,76.97,-14.600000000000001,1003
2018,1,1,7,0,0,-18.1,0.51,3.7,75.86,-14.8,1003
