Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,775510,-,-,-,41.93,-93.38,-6,300,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2018,1,1,0,0,0,-27.900000000000002,0.87,3.2,77.69,-25.1,1006
2018,1,1,0,30,0,-27.900000000000002,0.87,3.3000000000000003,77.69,-25.1,1006
2018,1,1,1,0,0,-28.0,0.87,3.4000000000000004,77.68,-25.200000000000003,1006
2018,1,1,1,30,0,-28.0,0.87,3.5,77.76,-25.200000000000003,1007
2018,1,1,2,0,0,-28.1,0.87,3.6,76.36,-25.200000000000003,1007
2018,1,1,2,30,0,-28.1,0.87,3.6,77.06,-25.3,1007
2018,1,1,3,0,0,-28.400000000000002,0.87,3.7,76.22,-25.400000000000002,1007
2018,1,1,3,30,0,-28.400000000000002,0.87,3.7,76.22,-25.400000000000002,1007
2018,1,1,4,0,0,-28.6,0.87,3.8000000000000003,74.67,-25.400000000000002,1007
2018,1,1,4,30,0,-28.6,0.87,3.8000000000000003,75.35000000000001,-25.5,1007
2018,1,1,5,0,0,-28.700000000000003,0.87,3.7,74.22,-25.5,1007
2018,1,1,5,30,0,-28.700000000000003,0.87,3.7,74.22,-25.5,1007
2018,1,1,6,0,0,-28.8,0.87,3.6,73.78,-25.5,1007
2018,1,1,6,30,0,-28.8,0.87,3.6,73.11,-25.400000000000002,1007
2018,1,1,7,0,0,-28.8,0.87,3.6,72.5,-25.3,1007
2018,1,1,7,30,0,-28.8,0.87,3.6,69.29,-24.8,1007
2018,1,1,8,0,22,-28.3,0.87,3.7,69.7,-24.3,1007
2018,1,1,8,30,76,-28.3,0.87,3.9000000000000004,65.53,-23.6,1008
2018,1,1,9,0,135,-27.3,0.87,4.1000000000000005,66.35,-22.8,1008
2018,1,1,9,30,223,-27.400000000000002,0.87,4.0,62.92,-22.200000000000003,1008
2018,1,1,10,0,321,-26.6,0.87,3.9000000000000004,63.28,-21.5,1008
2018,1,1,10,30,378,-26.6,0.87,3.8000000000000003,58.51,-20.6,1008
2018,1,1,11,0,422,-25.5,0.87,3.8000000000000003,60.09,-19.700000000000003,1007
2018,1,1,11,30,450,-25.5,0.87,3.8000000000000003,56.59,-19.0,1007
2018,1,1,12,0,469,-24.400000000000002,0.87,3.8000000000000003,58.71,-18.3,1007
2018,1,1,12,30,470,-24.400000000000002,0.87,3.8000000000000003,56.21,-17.8,1006
2018,1,1,13,0,456,-23.6,0.87,3.8000000000000003,58.11,-17.3,1006
2018,1,1,13,30,427,-23.6,0.87,3.7,56.660000000000004,-17.0,1006
2018,1,1,14,0,385,-23.0,0.87,3.6,58.77,-16.8,1006
2018,1,1,14,30,330,-23.0,0.87,3.4000000000000004,59.26,-16.900000000000002,1006
2018,1,1,15,0,244,-22.700000000000003,0.87,3.2,61.5,-17.0,1006
2018,1,1,15,30,189,-22.700000000000003,0.87,2.9000000000000004,66.35,-17.900000000000002,1006
2018,1,1,16,0,109,-23.6,0.87,2.6,65.81,-18.8,1006
2018,1,1,16,30,30,-23.6,0.87,2.3000000000000003,69.81,-19.5,1005
2018,1,1,17,0,0,-23.900000000000002,0.87,2.0,73.13,-20.3,1005
2018,1,1,17,30,0,-23.900000000000002,0.87,2.0,73.13,-20.3,1005
