Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,235579,-,-,-,47.13,-108.62,-7,948,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2018,1,1,0,0,0,-27.900000000000002,0.51,4.800000000000001,73.03,-24.5,915
2018,1,1,0,30,0,-27.900000000000002,0.51,4.800000000000001,72.37,-24.400000000000002,915
2018,1,1,1,0,0,-27.6,0.51,4.7,73.86,-24.3,914
2018,1,1,1,30,0,-27.6,0.51,4.7,72.54,-24.1,914
2018,1,1,2,0,0,-27.1,0.51,4.7,74.99,-23.900000000000002,914
2018,1,1,2,30,0,-27.1,0.51,4.6000000000000005,73.0,-23.6,914
2018,1,1,3,0,0,-26.200000000000003,0.51,4.5,76.86,-23.3,914
2018,1,1,3,30,0,-26.200000000000003,0.51,4.2,74.17,-22.900000000000002,914
2018,1,1,4,0,0,-25.200000000000003,0.51,3.8000000000000003,78.47,-22.5,913
2018,1,1,4,30,0,-25.200000000000003,0.51,3.3000000000000003,76.42,-22.200000000000003,913
2018,1,1,5,0,0,-24.400000000000002,0.51,2.8000000000000003,80.7,-22.0,913
2018,1,1,5,30,0,-24.400000000000002,0.51,2.4000000000000004,79.99,-21.900000000000002,913
2018,1,1,6,0,0,-24.3,0.51,2.1,80.94,-21.900000000000002,913
2018,1,1,6,30,0,-24.3,0.51,2.0,80.94,-21.900000000000002,913
2018,1,1,7,0,0,-24.3,0.51,1.9000000000000001,81.52,-22.0,914
2018,1,1,7,30,0,-24.3,0.51,2.0,80.10000000000001,-21.8,914
2018,1,1,8,0,3,-24.3,0.51,2.1,79.48,-21.700000000000003,914
2018,1,1,8,30,44,-24.3,0.51,2.4000000000000004,71.58,-20.5,914
2018,1,1,9,0,94,-22.400000000000002,0.51,2.8000000000000003,76.67,-19.3,915
2018,1,1,9,30,147,-22.400000000000002,0.51,3.8000000000000003,69.21000000000001,-18.1,915
2018,1,1,10,0,167,-20.200000000000003,0.51,4.7,75.12,-16.8,915
2018,1,1,10,30,278,-20.200000000000003,0.51,4.9,73.34,-16.5,916
2018,1,1,11,0,317,-19.5,0.51,5.1000000000000005,75.56,-16.2,916
2018,1,1,11,30,334,-19.5,0.51,5.0,73.7,-15.9,916
2018,1,1,12,0,341,-18.8,0.51,4.9,75.99,-15.5,916
2018,1,1,12,30,360,-18.8,0.51,4.7,73.51,-15.100000000000001,916
2018,1,1,13,0,343,-18.1,0.51,4.5,75.58,-14.700000000000001,916
2018,1,1,13,30,324,-18.1,0.51,4.1000000000000005,74.35000000000001,-14.5,916
2018,1,1,14,0,274,-17.6,0.51,3.8000000000000003,75.99,-14.3,916
2018,1,1,14,30,153,-17.6,0.51,2.9000000000000004,78.52,-14.700000000000001,916
2018,1,1,15,0,116,-18.0,0.51,2.1,78.09,-15.0,916
2018,1,1,15,30,88,-18.0,0.51,1.8,86.99,-16.3,916
2018,1,1,16,0,56,-20.400000000000002,0.51,1.5,78.35000000000001,-17.5,916
2018,1,1,16,30,10,-20.400000000000002,0.51,1.5,78.35000000000001,-17.5,916
2018,1,1,17,0,0,-21.5,0.51,1.8,80.89,-19.0,916
2018,1,1,17,30,0,-21.5,0.51,2.0,85.17,-19.6,916
2018,1,1,18,0,0,-22.3,0.51,2.1,83.85000000000001,-20.3,916
2018,1,1,18,30,0,-22.3,0.51,2.4000000000000004,84.58,-20.400000000000002,916
2018,1,1,19,0,0,-22.700000000000003,0.51,2.6,83.42,-20.6,916
2018,1,1,19,30,0,-22.700000000000003,0.51,2.9000000000000004,77.17,-19.700000000000003,916
2018,1,1,20,0,0,-21.700000000000003,0.51,3.3000000000000003,78.71000000000001,-18.900000000000002,916
2018,1,1,20,30,0,-21.700000000000003,0.51,3.3000000000000003,72.82000000000001,-18.0,915
2018,1,1,21,0,0,-20.900000000000002,0.51,3.4000000000000004,72.39,-17.1,915
2018,1,1,21,30,0,-20.900000000000002,0.51,3.4000000000000004,70.0,-16.7,915
2018,1,1,22,0,0,-20.900000000000002,0.51,3.5,68.14,-16.400000000000002,914
2018,1,1,22,30,0,-20.900000000000002,0.51,3.6,67.01,-16.2,914
2018,1,1,23,0,0,-21.0,0.51,3.7,65.29,-16.0,913
