Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1291461,-,-,-,44.57,-72.54,-5,294,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2018,1,1,0,0,0,-25.200000000000003,0.49,0.7000000000000001,75.83,-22.1,988
2018,1,1,0,30,0,-25.200000000000003,0.49,0.7000000000000001,77.25,-22.3,989
2018,1,1,1,0,0,-25.700000000000003,0.49,0.7000000000000001,75.06,-22.5,989
2018,1,1,1,30,0,-25.700000000000003,0.49,0.7000000000000001,77.08,-22.8,989
2018,1,1,2,0,0,-26.3,0.49,0.7000000000000001,74.98,-23.1,989
2018,1,1,2,30,0,-26.3,0.49,0.7000000000000001,76.32000000000001,-23.3,989
2018,1,1,3,0,0,-26.8,0.49,0.7000000000000001,74.73,-23.6,989
2018,1,1,3,30,0,-26.8,0.49,0.7000000000000001,75.4,-23.700000000000003,989
2018,1,1,4,0,0,-27.1,0.49,0.6000000000000001,74.35000000000001,-23.8,989
2018,1,1,4,30,0,-27.1,0.49,0.6000000000000001,74.35000000000001,-23.8,989
2018,1,1,5,0,0,-27.1,0.49,0.6000000000000001,74.49,-23.8,990
2018,1,1,5,30,0,-27.1,0.49,0.6000000000000001,74.49,-23.8,990
2018,1,1,6,0,0,-27.1,0.49,0.6000000000000001,74.79,-23.900000000000002,990
2018,1,1,6,30,0,-27.1,0.49,0.6000000000000001,74.79,-23.900000000000002,990
2018,1,1,7,0,0,-27.200000000000003,0.49,0.6000000000000001,74.72,-24.0,990
2018,1,1,7,30,7,-27.200000000000003,0.49,0.6000000000000001,74.05,-23.900000000000002,990
2018,1,1,8,0,51,-27.1,0.49,0.6000000000000001,74.49,-23.8,990
2018,1,1,8,30,121,-27.1,0.49,0.6000000000000001,71.87,-23.400000000000002,990
2018,1,1,9,0,167,-26.3,0.49,0.7000000000000001,74.88,-23.1,990
2018,1,1,9,30,248,-26.3,0.49,0.7000000000000001,71.63,-22.6,990
2018,1,1,10,0,327,-25.200000000000003,0.49,0.7000000000000001,75.06,-22.0,990
2018,1,1,10,30,372,-25.200000000000003,0.49,0.7000000000000001,71.84,-21.5,990
2018,1,1,11,0,404,-24.200000000000003,0.49,0.8,75.74,-21.0,990
2018,1,1,11,30,420,-24.200000000000003,0.49,0.8,73.78,-20.700000000000003,990
2018,1,1,12,0,422,-23.400000000000002,0.49,0.8,76.14,-20.3,989
2018,1,1,12,30,417,-23.400000000000002,0.49,0.8,75.49,-20.200000000000003,989
2018,1,1,13,0,368,-23.1,0.49,0.7000000000000001,76.76,-20.1,989
2018,1,1,13,30,331,-23.1,0.49,0.7000000000000001,76.76,-20.1,989
2018,1,1,14,0,293,-23.1,0.49,0.7000000000000001,76.87,-20.1,989
2018,1,1,14,30,191,-23.1,0.49,0.6000000000000001,77.54,-20.200000000000003,989
2018,1,1,15,0,136,-23.3,0.49,0.6000000000000001,76.45,-20.200000000000003,989
2018,1,1,15,30,77,-23.3,0.49,0.5,77.79,-20.400000000000002,989
2018,1,1,16,0,27,-23.6,0.49,0.5,76.71000000000001,-20.6,989
2018,1,1,16,30,0,-23.6,0.49,0.4,78.74,-20.900000000000002,989
2018,1,1,17,0,0,-24.3,0.49,0.4,76.04,-21.200000000000003,989
2018,1,1,17,30,0,-24.3,0.49,0.4,76.71000000000001,-21.3,989
2018,1,1,18,0,0,-24.8,0.49,0.5,74.62,-21.5,989
2018,1,1,18,30,0,-24.8,0.49,0.5,74.62,-21.5,989
2018,1,1,19,0,0,-25.5,0.49,0.4,74.43,-22.200000000000003,989
2018,1,1,19,30,0,-25.5,0.49,0.4,77.10000000000001,-22.6,989
2018,1,1,20,0,0,-26.200000000000003,0.49,0.5,74.37,-22.900000000000002,989
2018,1,1,20,30,0,-26.200000000000003,0.49,0.6000000000000001,76.3,-23.200000000000003,988
2018,1,1,21,0,0,-26.6,0.49,0.7000000000000001,74.95,-23.400000000000002,988
2018,1,1,21,30,0,-26.6,0.49,0.7000000000000001,76.3,-23.6,988
2018,1,1,22,0,0,-27.1,0.49,0.7000000000000001,74.72,-23.900000000000002,988
2018,1,1,22,30,0,-27.1,0.49,0.6000000000000001,76.76,-24.200000000000003,988
2018,1,1,23,0,0,-27.6,0.49,0.6000000000000001,74.98,-24.400000000000002,988
2018,1,1,23,30,0,-27.6,0.49,0.5,77.04,-24.700000000000003,988
2018,1,2,0,0,0,-28.200000000000003,0.49,0.5,74.94,-25.0,988
