Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1284999,-,-,-,41.65,-72.74,-5,29,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2018,1,1,0,0,0,-20.8,0.68,0.9,69.88,-16.6,1021
2018,1,1,0,30,0,-20.8,0.68,0.9,72.34,-17.0,1022
2018,1,1,1,0,0,-21.5,0.68,0.9,70.98,-17.5,1022
2018,1,1,1,30,0,-21.5,0.68,0.9,72.8,-17.8,1022
2018,1,1,2,0,0,-22.0,0.68,0.9,71.49,-18.1,1022
2018,1,1,2,30,0,-22.0,0.68,0.9,72.72,-18.3,1022
2018,1,1,3,0,0,-22.3,0.68,0.9,71.87,-18.5,1022
2018,1,1,3,30,0,-22.3,0.68,0.9,73.11,-18.7,1022
2018,1,1,4,0,0,-22.5,0.68,0.9,72.53,-18.8,1022
2018,1,1,4,30,0,-22.5,0.68,0.9,73.15,-18.900000000000002,1022
2018,1,1,5,0,0,-22.700000000000003,0.68,0.9,72.85000000000001,-19.0,1022
2018,1,1,5,30,0,-22.700000000000003,0.68,0.9,73.48,-19.1,1022
2018,1,1,6,0,0,-22.8,0.68,1.0,73.22,-19.200000000000003,1023
2018,1,1,6,30,0,-22.8,0.68,1.0,73.85000000000001,-19.3,1023
2018,1,1,7,0,0,-22.900000000000002,0.68,1.0,72.98,-19.3,1023
2018,1,1,7,30,16,-22.900000000000002,0.68,1.0,67.58,-18.400000000000002,1023
2018,1,1,8,0,69,-22.0,0.68,0.9,68.19,-17.5,1024
2018,1,1,8,30,144,-22.0,0.68,1.0,62.690000000000005,-16.5,1024
2018,1,1,9,0,237,-20.8,0.68,1.0,63.63,-15.5,1024
2018,1,1,9,30,316,-20.8,0.68,1.0,59.08,-14.600000000000001,1024
2018,1,1,10,0,376,-19.900000000000002,0.68,1.0,59.910000000000004,-13.8,1024
2018,1,1,10,30,420,-19.900000000000002,0.68,1.0,56.54,-13.100000000000001,1023
2018,1,1,11,0,453,-19.1,0.68,1.0,57.370000000000005,-12.4,1023
2018,1,1,11,30,462,-19.1,0.68,1.0,55.11,-11.9,1023
2018,1,1,12,0,462,-18.5,0.68,1.0,55.92,-11.4,1022
2018,1,1,12,30,441,-18.5,0.68,1.0,55.04,-11.200000000000001,1022
2018,1,1,13,0,413,-17.900000000000002,0.68,1.0,56.15,-10.9,1022
2018,1,1,13,30,374,-17.900000000000002,0.68,1.0,56.15,-10.9,1022
