Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,599551,-,-,-,47.25,-100.62,-6,573,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2018,1,1,0,0,0,-28.3,0.53,3.0,67.02,-23.900000000000002,973
2018,1,1,0,30,0,-28.3,0.53,3.0,67.02,-23.900000000000002,973
2018,1,1,1,0,0,-28.400000000000002,0.53,3.0,66.48,-23.900000000000002,973
2018,1,1,1,30,0,-28.400000000000002,0.53,2.9000000000000004,66.48,-23.900000000000002,973
2018,1,1,2,0,0,-28.5,0.53,2.8000000000000003,66.43,-24.0,973
2018,1,1,2,30,0,-28.5,0.53,2.8000000000000003,67.02,-24.1,973
2018,1,1,3,0,0,-28.6,0.53,2.7,66.42,-24.1,973
2018,1,1,3,30,0,-28.6,0.53,2.6,67.02,-24.200000000000003,973
2018,1,1,4,0,0,-28.6,0.53,2.5,67.35,-24.3,973
2018,1,1,4,30,0,-28.6,0.53,2.3000000000000003,67.89,-24.400000000000002,972
2018,1,1,5,0,0,-28.6,0.53,2.2,68.66,-24.5,972
2018,1,1,5,30,0,-28.6,0.53,2.0,68.66,-24.5,972
2018,1,1,6,0,0,-28.6,0.53,1.9000000000000001,69.51,-24.6,972
2018,1,1,6,30,0,-28.6,0.53,1.7000000000000002,70.14,-24.700000000000003,972
2018,1,1,7,0,0,-28.6,0.53,1.6,70.32000000000001,-24.700000000000003,972
2018,1,1,7,30,0,-28.5,0.53,1.5,70.95,-24.8,972
2018,1,1,8,0,0,-28.5,0.53,1.4000000000000001,71.59,-24.900000000000002,972
2018,1,1,8,30,6,-28.6,0.53,1.4000000000000001,68.44,-24.400000000000002,972
2018,1,1,9,0,46,-28.3,0.53,1.4000000000000001,67.29,-23.900000000000002,972
2018,1,1,9,30,92,-28.3,0.53,1.4000000000000001,60.47,-22.700000000000003,972
2018,1,1,10,0,111,-27.0,0.53,1.3,60.97,-21.5,972
2018,1,1,10,30,155,-27.0,0.53,1.4000000000000001,55.89,-20.5,972
2018,1,1,11,0,253,-26.0,0.53,1.5,56.58,-19.5,972
2018,1,1,11,30,323,-26.0,0.53,1.6,52.78,-18.7,971
2018,1,1,12,0,355,-25.0,0.53,1.7000000000000002,53.51,-17.8,971
2018,1,1,12,30,369,-25.0,0.53,1.9000000000000001,50.02,-17.0,971
2018,1,1,13,0,369,-24.0,0.53,2.1,50.95,-16.2,970
2018,1,1,13,30,356,-24.0,0.53,2.3000000000000003,49.28,-15.8,970
2018,1,1,14,0,330,-23.400000000000002,0.53,2.5,49.86,-15.3,969
2018,1,1,14,30,292,-23.400000000000002,0.53,2.6,50.28,-15.4,969
2018,1,1,15,0,242,-23.400000000000002,0.53,2.6,51.38,-15.600000000000001,969
2018,1,1,15,30,181,-23.400000000000002,0.53,2.3000000000000003,56.74,-16.8,968
2018,1,1,16,0,109,-24.900000000000002,0.53,2.0,54.25,-17.900000000000002,968
2018,1,1,16,30,36,-24.900000000000002,0.53,1.8,60.09,-19.1,968
2018,1,1,17,0,6,-25.8,0.53,1.7000000000000002,61.300000000000004,-20.3,968
2018,1,1,17,30,0,-25.8,0.53,1.7000000000000002,61.300000000000004,-20.3,968
2018,1,1,18,0,0,-26.5,0.53,2.2,62.32,-21.200000000000003,968
2018,1,1,18,30,0,-26.5,0.53,2.6,63.910000000000004,-21.5,967
2018,1,1,19,0,0,-27.0,0.53,3.0,62.800000000000004,-21.8,967
2018,1,1,19,30,0,-27.0,0.53,3.2,64.47,-22.1,967
2018,1,1,20,0,0,-27.200000000000003,0.53,3.4000000000000004,64.34,-22.3,967
2018,1,1,20,30,0,-27.200000000000003,0.53,3.5,64.91,-22.400000000000002,967
2018,1,1,21,0,0,-27.200000000000003,0.53,3.6,65.19,-22.400000000000002,966
2018,1,1,21,30,0,-27.200000000000003,0.53,3.7,64.05,-22.200000000000003,966
2018,1,1,22,0,0,-26.8,0.53,3.9000000000000004,65.63,-22.1,965
