Year,Month,Day,Hour,Minute,GHI,Dew Point,Surface Albedo,Temperature
2018,1,1,0,0,0,-28.200000000000003,0.87,-25.1
2018,1,1,0,30,0,-28.200000000000003,0.87,-25.3
2018,1,1,1,0,0,-28.400000000000002,0.87,-25.400000000000002
2018,1,1,1,30,0,-28.400000000000002,0.87,-25.6
2018,1,1,2,0,0,-28.6,0.87,-25.700000000000003
2018,1,1,2,30,0,-28.6,0.87,-25.900000000000002
2018,1,1,3,0,0,-29.0,0.87,-26.1
2018,1,1,3,30,0,-29.0,0.87,-26.200000000000003
2018,1,1,4,0,0,-29.200000000000003,0.87,-26.3
2018,1,1,4,30,0,-29.200000000000003,0.87,-26.400000000000002
2018,1,1,5,0,0,-29.6,0.87,-26.5
2018,1,1,5,30,0,-29.6,0.87,-26.6
2018,1,1,6,0,0,-30.0,0.87,-26.8
2018,1,1,6,30,0,-30.0,0.87,-26.900000000000002
2018,1,1,7,0,0,-30.3,0.87,-27.0
2018,1,1,7,30,6,-30.3,0.87,-26.5
2018,1,1,8,0,50,-30.1,0.87,-26.1
2018,1,1,8,30,110,-30.200000000000003,0.87,-24.1
2018,1,1,9,0,173,-26.200000000000003,0.87,-22.1
2018,1,1,9,30,233,-26.200000000000003,0.87,-20.200000000000003
2018,1,1,10,0,260,-22.200000000000003,0.87,-18.400000000000002
2018,1,1,10,30,318,-22.200000000000003,0.87,-17.5
2018,1,1,11,0,370,-20.3,0.87,-16.6
2018,1,1,11,30,396,-20.3,0.87,-15.9
2018,1,1,12,0,395,-18.8,0.87,-15.200000000000001
2018,1,1,12,30,392,-18.8,0.87,-14.700000000000001
2018,1,1,13,0,372,-17.7,0.87,-14.3
2018,1,1,13,30,318,-17.7,0.87,-14.100000000000001
2018,1,1,14,0,248,-17.2,0.87,-13.9
2018,1,1,14,30,249,-17.2,0.87,-13.9
2018,1,1,15,0,199,-17.2,0.87,-14.0
2018,1,1,15,30,121,-17.2,0.87,-14.700000000000001
2018,1,1,16,0,48,-18.8,0.87,-15.3
2018,1,1,16,30,5,-18.8,0.87,-15.600000000000001
2018,1,1,17,0,0,-19.900000000000002,0.87,-15.8
2018,1,1,17,30,0,-19.900000000000002,0.87,-16.0
2018,1,1,18,0,0,-20.1,0.87,-16.1
2018,1,1,18,30,0,-20.1,0.87,-16.1
2018,1,1,19,0,0,-20.200000000000003,0.87,-16.8
2018,1,1,19,30,0,-20.3,0.87,-17.3
2018,1,1,20,0,0,-20.900000000000002,0.87,-17.7
2018,1,1,20,30,0,-20.900000000000002,0.87,-17.8
2018,1,1,21,0,0,-20.900000000000002,0.87,-17.8
2018,1,1,21,30,0,-20.900000000000002,0.87,-17.1
2018,1,1,22,0,0,-19.3,0.87,-16.400000000000002
2018,1,1,22,30,0,-19.3,0.87,-15.200000000000001
2018,1,1,23,0,0,-16.8,0.87,-14.0
2018,1,1,23,30,0,-16.8,0.87,-13.4
2018,1,2,0,0,0,-15.600000000000001,0.87,-12.9
2018,1,2,0,30,0,-15.600000000000001,0.87,-13.0
2018,1,2,1,0,0,-15.9,0.87,-13.100000000000001
2018,1,2,1,30,0,-15.9,0.87,-13.600000000000001
2018,1,2,2,0,0,-17.0,0.87,-14.100000000000001
