Year,Month,Day,Hour,Minute,GHI,Dew Point,Surface Albedo,Temperature
2018,1,1,0,0,0,-18.900000000000002,0.87,-15.5
2018,1,1,0,30,0,-18.900000000000002,0.87,-15.5
2018,1,1,1,0,0,-19.0,0.87,-15.5
2018,1,1,1,30,0,-19.0,0.87,-15.5
2018,1,1,2,0,0,-19.0,0.87,-15.5
2018,1,1,2,30,0,-19.0,0.87,-15.5
2018,1,1,3,0,0,-19.0,0.87,-15.4
2018,1,1,3,30,0,-19.0,0.87,-15.4
2018,1,1,4,0,0,-19.0,0.87,-15.4
2018,1,1,4,30,0,-19.0,0.87,-15.4
2018,1,1,5,0,0,-19.1,0.87,-15.4
2018,1,1,5,30,0,-19.1,0.87,-15.5
2018,1,1,6,0,0,-19.3,0.87,-15.5
2018,1,1,6,30,0,-19.3,0.87,-15.5
2018,1,1,7,0,0,-19.400000000000002,0.87,-15.5
2018,1,1,7,30,2,-19.400000000000002,0.87,-15.4
2018,1,1,8,0,39,-19.5,0.87,-15.3
2018,1,1,8,30,96,-19.5,0.87,-15.0
2018,1,1,9,0,160,-19.5,0.87,-14.700000000000001
2018,1,1,9,30,223,-19.5,0.87,-14.4
2018,1,1,10,0,266,-19.3,0.87,-14.0
2018,1,1,10,30,331,-19.3,0.87,-13.5
2018,1,1,11,0,390,-19.0,0.87,-13.100000000000001
2018,1,1,11,30,427,-19.0,0.87,-12.700000000000001
2018,1,1,12,0,414,-18.6,0.87,-12.3
2018,1,1,12,30,419,-18.6,0.87,-12.200000000000001
2018,1,1,13,0,398,-18.400000000000002,0.87,-12.0
2018,1,1,13,30,307,-18.400000000000002,0.87,-11.9
2018,1,1,14,0,277,-18.1,0.87,-11.9
2018,1,1,14,30,221,-18.1,0.87,-11.9
2018,1,1,15,0,144,-17.7,0.87,-11.9
2018,1,1,15,30,93,-17.7,0.87,-12.3
2018,1,1,16,0,46,-17.5,0.87,-12.700000000000001
2018,1,1,16,30,10,-17.5,0.87,-12.9
2018,1,1,17,0,0,-17.400000000000002,0.87,-13.200000000000001
2018,1,1,17,30,0,-17.400000000000002,0.87,-13.100000000000001
2018,1,1,18,0,0,-17.0,0.87,-13.100000000000001
2018,1,1,18,30,0,-17.0,0.87,-13.100000000000001
2018,1,1,19,0,0,-16.7,0.87,-12.9
2018,1,1,19,30,0,-16.7,0.87,-12.9
2018,1,1,20,0,0,-16.6,0.87,-12.9
2018,1,1,20,30,0,-16.6,0.87,-13.0
2018,1,1,21,0,0,-16.6,0.87,-13.0
2018,1,1,21,30,0,-16.6,0.87,-12.9
2018,1,1,22,0,0,-16.2,0.87,-12.8
2018,1,1,22,30,0,-16.2,0.87,-12.8
2018,1,1,23,0,0,-16.2,0.87,-12.700000000000001
2018,1,1,23,30,0,-16.2,0.87,-12.9
2018,1,2,0,0,0,-16.8,0.87,-13.0
2018,1,2,0,30,0,-16.8,0.87,-13.100000000000001
2018,1,2,1,0,0,-17.2,0.87,-13.3
2018,1,2,1,30,0,-17.2,0.87,-13.4
2018,1,2,2,0,0,-17.1,0.87,-13.5
2018,1,2,2,30,0,-17.1,0.87,-13.5
2018,1,2,3,0,0,-16.8,0.87,-13.5
2018,1,2,3,30,0,-16.8,0.87,-13.4
2018,1,2,4,0,0,-16.400000000000002,0.87,-13.4
2018,1,2,4,30,0,-16.400000000000002,0.87,-13.200000000000001
2018,1,2,5,0,0,-15.9,0.87,-13.100000000000001
2018,1,2,5,30,0,-15.9,0.87,-13.0
2018,1,2,6,0,0,-15.5,0.87,-12.9
2018,1,2,6,30,0,-15.5,0.87,-12.8
2018,1,2,7,0,0,-15.3,0.87,-12.700000000000001
2018,1,2,7,30,3,-15.3,0.87,-12.4
2018,1,2,8,0,42,-14.9,0.87,-12.100000000000001
2018,1,2,8,30,105,-14.9,0.87,-11.600000000000001
2018,1,2,9,0,180,-14.5,0.87,-11.0
2018,1,2,9,30,245,-14.5,0.87,-10.4
2018,1,2,10,0,244,-14.100000000000001,0.87,-9.700000000000001
2018,1,2,10,30,281,-14.100000000000001,0.87,-9.1
2018,1,2,11,0,311,-13.600000000000001,0.87,-8.4
2018,1,2,11,30,289,-13.600000000000001,0.87,-7.9
2018,1,2,12,0,173,-13.200000000000001,0.87,-7.4
2018,1,2,12,30,217,-13.200000000000001,0.87,-7.2
2018,1,2,13,0,355,-12.9,0.87,-7.0
2018,1,2,13,30,356,-12.9,0.87,-7.0
2018,1,2,14,0,308,-12.9,0.87,-7.0
2018,1,2,14,30,237,-12.9,0.87,-7.4
2018,1,2,15,0,184,-13.100000000000001,0.87,-7.7
2018,1,2,15,30,119,-13.100000000000001,0.87,-8.5
2018,1,2,16,0,62,-13.700000000000001,0.87,-9.200000000000001
2018,1,2,16,30,13,-13.700000000000001,0.87,-10.0
2018,1,2,17,0,0,-14.8,0.87,-10.8
2018,1,2,17,30,0,-14.8,0.87,-11.4
2018,1,2,18,0,0,-15.700000000000001,0.87,-12.0
2018,1,2,18,30,0,-15.700000000000001,0.87,-12.0
2018,1,2,19,0,0,-16.1,0.87,-12.8
2018,1,2,19,30,0,-16.1,0.87,-13.100000000000001
2018,1,2,20,0,0,-16.400000000000002,0.87,-13.3
2018,1,2,20,30,0,-16.400000000000002,0.87,-13.4
2018,1,2,21,0,0,-16.5,0.87,-13.4
2018,1,2,21,30,0,-16.5,0.87,-13.4
2018,1,2,22,0,0,-16.5,0.87,-13.4
2018,1,2,22,30,0,-16.5,0.87,-13.5
2018,1,2,23,0,0,-16.5,0.87,-13.600000000000001
2018,1,2,23,30,0,-16.5,0.87,-13.8
2018,1,3,0,0,0,-16.8,0.87,-14.0
2018,1,3,0,30,0,-16.8,0.87,-14.3
2018,1,3,1,0,0,-17.1,0.87,-14.600000000000001
2018,1,3,1,30,0,-17.1,0.87,-14.9
2018,1,3,2,0,0,-17.400000000000002,0.87,-15.3
2018,1,3,2,30,0,-17.400000000000002,0.87,-15.600000000000001
2018,1,3,3,0,0,-17.6,0.87,-15.8
2018,1,3,3,30,0,-17.6,0.87,-16.0
2018,1,3,4,0,0,-17.8,0.87,-16.1
2018,1,3,4,30,0,-17.8,0.87,-16.2
2018,1,3,5,0,0,-18.0,0.87,-16.2
2018,1,3,5,30,0,-18.0,0.87,-16.3
2018,1,3,6,0,0,-18.3,0.87,-16.400000000000002
2018,1,3,6,30,0,-18.3,0.87,-16.6
2018,1,3,7,0,0,-18.6,0.87,-16.8
2018,1,3,7,30,2,-18.6,0.87,-16.1
2018,1,3,8,0,38,-18.6,0.87,-15.5
2018,1,3,8,30,91,-18.6,0.87,-13.8
2018,1,3,9,0,139,-17.7,0.87,-12.100000000000001
2018,1,3,9,30,223,-17.7,0.87,-10.700000000000001
2018,1,3,10,0,320,-16.7,0.87,-9.4
2018,1,3,10,30,381,-16.7,0.87,-8.4
2018,1,3,11,0,438,-15.8,0.87,-7.300000000000001
2018,1,3,11,30,468,-15.8,0.87,-6.6000000000000005
2018,1,3,12,0,468,-14.9,0.87,-5.800000000000001
2018,1,3,12,30,446,-14.9,0.87,-5.4
2018,1,3,13,0,427,-14.100000000000001,0.87,-5.0
2018,1,3,13,30,382,-14.100000000000001,0.87,-5.0
2018,1,3,14,0,349,-13.5,0.87,-5.0
2018,1,3,14,30,303,-13.5,0.87,-5.5
2018,1,3,15,0,236,-13.200000000000001,0.87,-6.0
2018,1,3,15,30,156,-13.200000000000001,0.87,-7.800000000000001
2018,1,3,16,0,76,-13.700000000000001,0.87,-9.5
2018,1,3,16,30,17,-13.700000000000001,0.87,-9.700000000000001
