Year,Month,Day,Hour,Minute,GHI,Dew Point,Surface Albedo,Temperature
2018,1,1,0,0,0,-15.9,0.49,-13.9
2018,1,1,0,30,0,-15.9,0.49,-14.200000000000001
2018,1,1,1,0,0,-16.400000000000002,0.49,-14.4
2018,1,1,1,30,0,-16.400000000000002,0.49,-14.600000000000001
2018,1,1,2,0,0,-16.7,0.49,-14.700000000000001
2018,1,1,2,30,0,-16.7,0.49,-14.700000000000001
2018,1,1,3,0,0,-16.8,0.49,-14.700000000000001
2018,1,1,3,30,0,-16.8,0.49,-14.700000000000001
2018,1,1,4,0,0,-16.8,0.49,-14.700000000000001
2018,1,1,4,30,0,-16.8,0.49,-14.8
2018,1,1,5,0,0,-17.1,0.49,-15.0
2018,1,1,5,30,0,-17.1,0.49,-15.100000000000001
2018,1,1,6,0,0,-17.2,0.49,-15.100000000000001
2018,1,1,6,30,0,-17.2,0.49,-15.200000000000001
2018,1,1,7,0,0,-17.3,0.49,-15.200000000000001
2018,1,1,7,30,0,-17.3,0.49,-15.100000000000001
2018,1,1,8,0,18,-17.0,0.49,-14.9
2018,1,1,8,30,70,-17.0,0.49,-14.200000000000001
2018,1,1,9,0,128,-15.700000000000001,0.49,-13.5
2018,1,1,9,30,185,-15.700000000000001,0.49,-12.8
2018,1,1,10,0,243,-14.5,0.49,-12.100000000000001
2018,1,1,10,30,297,-14.5,0.49,-11.5
2018,1,1,11,0,344,-13.5,0.49,-10.8
2018,1,1,11,30,361,-13.5,0.49,-10.4
2018,1,1,12,0,373,-12.9,0.49,-10.100000000000001
2018,1,1,12,30,369,-12.9,0.49,-10.0
2018,1,1,13,0,363,-12.8,0.49,-10.0
2018,1,1,13,30,341,-12.8,0.49,-10.100000000000001
2018,1,1,14,0,310,-13.0,0.49,-10.3
2018,1,1,14,30,224,-13.0,0.49,-10.600000000000001
2018,1,1,15,0,166,-13.3,0.49,-11.0
2018,1,1,15,30,111,-13.3,0.49,-11.3
2018,1,1,16,0,57,-13.8,0.49,-11.700000000000001
2018,1,1,16,30,15,-13.8,0.49,-11.8
2018,1,1,17,0,0,-13.8,0.49,-11.8
2018,1,1,17,30,0,-13.8,0.49,-11.5
2018,1,1,18,0,0,-13.200000000000001,0.49,-11.3
2018,1,1,18,30,0,-13.200000000000001,0.49,-11.3
2018,1,1,19,0,0,-12.700000000000001,0.49,-10.8
2018,1,1,19,30,0,-12.700000000000001,0.49,-10.8
2018,1,1,20,0,0,-12.8,0.49,-10.8
2018,1,1,20,30,0,-12.8,0.49,-11.0
2018,1,1,21,0,0,-13.3,0.49,-11.200000000000001
2018,1,1,21,30,0,-13.3,0.49,-11.4
2018,1,1,22,0,0,-13.5,0.49,-11.5
2018,1,1,22,30,0,-13.5,0.49,-11.5
2018,1,1,23,0,0,-13.4,0.49,-11.600000000000001
2018,1,1,23,30,0,-13.4,0.49,-11.5
2018,1,2,0,0,0,-13.3,0.49,-11.5
2018,1,2,0,30,0,-13.3,0.49,-11.4
2018,1,2,1,0,0,-13.100000000000001,0.49,-11.4
2018,1,2,1,30,0,-13.100000000000001,0.49,-11.3
2018,1,2,2,0,0,-12.9,0.49,-11.200000000000001
2018,1,2,2,30,0,-12.9,0.49,-11.0
2018,1,2,3,0,0,-12.5,0.49,-10.8
2018,1,2,3,30,0,-12.5,0.49,-10.5
2018,1,2,4,0,0,-11.9,0.49,-10.200000000000001
2018,1,2,4,30,0,-11.9,0.49,-10.100000000000001
2018,1,2,5,0,0,-11.700000000000001,0.49,-10.0
2018,1,2,5,30,0,-11.700000000000001,0.49,-10.100000000000001
2018,1,2,6,0,0,-11.9,0.49,-10.200000000000001
2018,1,2,6,30,0,-11.9,0.49,-10.4
2018,1,2,7,0,0,-12.200000000000001,0.49,-10.5
2018,1,2,7,30,0,-12.200000000000001,0.49,-10.4
2018,1,2,8,0,14,-12.200000000000001,0.49,-10.4
2018,1,2,8,30,42,-12.200000000000001,0.49,-9.9
2018,1,2,9,0,75,-11.3,0.49,-9.5
2018,1,2,9,30,106,-11.3,0.49,-8.9
2018,1,2,10,0,136,-10.3,0.49,-8.3
2018,1,2,10,30,140,-10.3,0.49,-7.9
2018,1,2,11,0,170,-9.600000000000001,0.49,-7.5
2018,1,2,11,30,253,-9.600000000000001,0.49,-7.300000000000001
2018,1,2,12,0,336,-9.3,0.49,-7.2
2018,1,2,12,30,325,-9.3,0.49,-7.2
2018,1,2,13,0,227,-9.3,0.49,-7.2
2018,1,2,13,30,306,-9.3,0.49,-7.300000000000001
2018,1,2,14,0,287,-9.600000000000001,0.49,-7.4
2018,1,2,14,30,236,-9.600000000000001,0.49,-7.6000000000000005
2018,1,2,15,0,163,-9.9,0.49,-7.7
2018,1,2,15,30,104,-9.9,0.49,-8.0
2018,1,2,16,0,54,-10.3,0.49,-8.200000000000001
2018,1,2,16,30,15,-10.3,0.49,-8.4
2018,1,2,17,0,0,-10.600000000000001,0.49,-8.6
2018,1,2,17,30,0,-10.600000000000001,0.49,-8.700000000000001
2018,1,2,18,0,0,-10.8,0.49,-8.8
2018,1,2,18,30,0,-10.8,0.49,-8.8
2018,1,2,19,0,0,-10.9,0.49,-8.9
2018,1,2,19,30,0,-10.9,0.49,-8.9
2018,1,2,20,0,0,-10.9,0.49,-8.9
2018,1,2,20,30,0,-10.9,0.49,-9.0
2018,1,2,21,0,0,-11.0,0.49,-9.0
2018,1,2,21,30,0,-11.0,0.49,-9.1
2018,1,2,22,0,0,-11.200000000000001,0.49,-9.200000000000001
2018,1,2,22,30,0,-11.200000000000001,0.49,-9.4
2018,1,2,23,0,0,-11.600000000000001,0.49,-9.600000000000001
2018,1,2,23,30,0,-11.600000000000001,0.49,-10.0
2018,1,3,0,0,0,-12.3,0.49,-10.3
2018,1,3,0,30,0,-12.3,0.49,-10.700000000000001
2018,1,3,1,0,0,-13.0,0.49,-11.0
2018,1,3,1,30,0,-13.0,0.49,-11.4
2018,1,3,2,0,0,-13.700000000000001,0.49,-11.700000000000001
2018,1,3,2,30,0,-13.700000000000001,0.49,-12.0
2018,1,3,3,0,0,-14.4,0.49,-12.3
2018,1,3,3,30,0,-14.4,0.49,-12.8
2018,1,3,4,0,0,-15.4,0.49,-13.3
2018,1,3,4,30,0,-15.4,0.49,-14.100000000000001
2018,1,3,5,0,0,-16.7,0.49,-14.8
2018,1,3,5,30,0,-16.7,0.49,-15.3
2018,1,3,6,0,0,-17.6,0.49,-15.8
2018,1,3,6,30,0,-17.6,0.49,-16.3
2018,1,3,7,0,0,-18.5,0.49,-16.8
2018,1,3,7,30,0,-18.5,0.49,-16.6
2018,1,3,8,0,16,-18.5,0.49,-16.400000000000002
2018,1,3,8,30,61,-18.5,0.49,-14.8
2018,1,3,9,0,117,-16.1,0.49,-13.200000000000001
2018,1,3,9,30,172,-16.1,0.49,-11.8
2018,1,3,10,0,212,-13.600000000000001,0.49,-10.4
2018,1,3,10,30,248,-13.600000000000001,0.49,-9.5
2018,1,3,11,0,297,-12.0,0.49,-8.700000000000001
2018,1,3,11,30,301,-12.0,0.49,-7.9
2018,1,3,12,0,297,-10.600000000000001,0.49,-7.2
2018,1,3,12,30,310,-10.600000000000001,0.49,-6.6000000000000005
2018,1,3,13,0,318,-9.4,0.49,-6.1000000000000005
2018,1,3,13,30,254,-9.4,0.49,-5.7
2018,1,3,14,0,244,-8.4,0.49,-5.4
2018,1,3,14,30,183,-8.4,0.49,-5.5
2018,1,3,15,0,131,-8.200000000000001,0.49,-5.6000000000000005
2018,1,3,15,30,95,-8.200000000000001,0.49,-6.0
2018,1,3,16,0,50,-8.8,0.49,-6.4
2018,1,3,16,30,15,-8.8,0.49,-6.800000000000001
2018,1,3,17,0,0,-9.700000000000001,0.49,-7.2
2018,1,3,17,30,0,-9.700000000000001,0.49,-7.300000000000001
2018,1,3,18,0,0,-9.8,0.49,-7.300000000000001
2018,1,3,18,30,0,-9.8,0.49,-7.300000000000001
2018,1,3,19,0,0,-10.0,0.49,-7.4
2018,1,3,19,30,0,-10.0,0.49,-7.5
2018,1,3,20,0,0,-10.200000000000001,0.49,-7.6000000000000005
2018,1,3,20,30,0,-10.200000000000001,0.49,-8.0
2018,1,3,21,0,0,-10.9,0.49,-8.4
2018,1,3,21,30,0,-10.9,0.49,-8.700000000000001
2018,1,3,22,0,0,-11.5,0.49,-9.1
2018,1,3,22,30,0,-11.5,0.49,-9.1
2018,1,3,23,0,0,-11.4,0.49,-9.200000000000001
