Year,Month,Day,Hour,Minute,GHI,Dew Point,Surface Albedo,Temperature
2018,1,1,0,0,0,-26.700000000000003,0.68,-24.5
2018,1,1,0,30,0,-26.700000000000003,0.68,-24.8
2018,1,1,1,0,0,-27.3,0.68,-25.0
2018,1,1,1,30,0,-27.3,0.68,-25.3
2018,1,1,2,0,0,-27.8,0.68,-25.5
2018,1,1,2,30,0,-27.8,0.68,-25.700000000000003
2018,1,1,3,0,0,-28.3,0.68,-26.0
2018,1,1,3,30,0,-28.3,0.68,-26.1
2018,1,1,4,0,0,-28.700000000000003,0.68,-26.3
2018,1,1,4,30,0,-28.700000000000003,0.68,-26.400000000000002
2018,1,1,5,0,0,-28.900000000000002,0.68,-26.5
2018,1,1,5,30,0,-28.900000000000002,0.68,-26.6
2018,1,1,6,0,0,-29.1,0.68,-26.6
2018,1,1,6,30,0,-29.1,0.68,-26.8
2018,1,1,7,0,0,-29.3,0.68,-26.900000000000002
2018,1,1,7,30,3,-29.3,0.68,-26.700000000000003
2018,1,1,8,0,33,-29.0,0.68,-26.6
2018,1,1,8,30,84,-29.0,0.68,-25.8
2018,1,1,9,0,142,-27.400000000000002,0.68,-25.0
2018,1,1,9,30,219,-27.400000000000002,0.68,-23.900000000000002
2018,1,1,10,0,308,-25.0,0.68,-22.8
2018,1,1,10,30,370,-25.0,0.68,-22.1
2018,1,1,11,0,385,-23.400000000000002,0.68,-21.3
2018,1,1,11,30,417,-23.400000000000002,0.68,-20.8
2018,1,1,12,0,417,-22.200000000000003,0.68,-20.200000000000003
2018,1,1,12,30,405,-22.200000000000003,0.68,-19.8
2018,1,1,13,0,370,-21.400000000000002,0.68,-19.5
2018,1,1,13,30,330,-21.400000000000002,0.68,-19.3
2018,1,1,14,0,248,-21.1,0.68,-19.200000000000003
2018,1,1,14,30,200,-21.1,0.68,-19.3
2018,1,1,15,0,154,-21.1,0.68,-19.3
2018,1,1,15,30,97,-21.1,0.68,-19.900000000000002
2018,1,1,16,0,44,-22.200000000000003,0.68,-20.400000000000002
2018,1,1,16,30,5,-22.200000000000003,0.68,-20.400000000000002
2018,1,1,17,0,0,-22.1,0.68,-20.5
2018,1,1,17,30,0,-22.1,0.68,-19.8
2018,1,1,18,0,0,-20.8,0.68,-19.200000000000003
2018,1,1,18,30,0,-20.8,0.68,-19.200000000000003
2018,1,1,19,0,0,-19.5,0.68,-18.1
2018,1,1,19,30,0,-19.5,0.68,-18.0
2018,1,1,20,0,0,-19.3,0.68,-17.900000000000002
2018,1,1,20,30,0,-19.3,0.68,-18.0
2018,1,1,21,0,0,-19.5,0.68,-18.1
2018,1,1,21,30,0,-19.5,0.68,-18.400000000000002
2018,1,1,22,0,0,-20.3,0.68,-18.7
2018,1,1,22,30,0,-20.3,0.68,-19.3
2018,1,1,23,0,0,-21.6,0.68,-19.8
2018,1,1,23,30,0,-21.6,0.68,-20.5
