Year,Month,Day,Hour,Minute,GHI,Dew Point,Surface Albedo,Temperature
2018,1,1,0,0,0,-26.3,0.49,-23.400000000000002
2018,1,1,0,30,0,-26.3,0.49,-23.6
2018,1,1,1,0,0,-26.8,0.49,-23.8
2018,1,1,1,30,0,-26.8,0.49,-24.1
2018,1,1,2,0,0,-27.3,0.49,-24.400000000000002
2018,1,1,2,30,0,-27.3,0.49,-24.6
2018,1,1,3,0,0,-27.900000000000002,0.49,-24.900000000000002
2018,1,1,3,30,0,-27.900000000000002,0.49,-25.1
2018,1,1,4,0,0,-28.200000000000003,0.49,-25.200000000000003
2018,1,1,4,30,0,-28.200000000000003,0.49,-25.3
2018,1,1,5,0,0,-28.400000000000002,0.49,-25.400000000000002
2018,1,1,5,30,0,-28.400000000000002,0.49,-25.400000000000002
2018,1,1,6,0,0,-28.5,0.49,-25.5
2018,1,1,6,30,0,-28.5,0.49,-25.5
2018,1,1,7,0,0,-28.6,0.49,-25.6
2018,1,1,7,30,12,-28.6,0.49,-25.5
2018,1,1,8,0,67,-28.400000000000002,0.49,-25.400000000000002
2018,1,1,8,30,141,-28.400000000000002,0.49,-25.1
2018,1,1,9,0,212,-27.700000000000003,0.49,-24.700000000000003
2018,1,1,9,30,277,-27.700000000000003,0.49,-24.1
2018,1,1,10,0,333,-26.400000000000002,0.49,-23.5
2018,1,1,10,30,377,-26.400000000000002,0.49,-22.900000000000002
2018,1,1,11,0,403,-25.200000000000003,0.49,-22.3
2018,1,1,11,30,423,-25.200000000000003,0.49,-21.900000000000002
2018,1,1,12,0,419,-24.200000000000003,0.49,-21.5
2018,1,1,12,30,417,-24.200000000000003,0.49,-21.3
2018,1,1,13,0,387,-24.0,0.49,-21.200000000000003
2018,1,1,13,30,352,-24.0,0.49,-21.3
2018,1,1,14,0,291,-24.1,0.49,-21.400000000000002
2018,1,1,14,30,205,-24.1,0.49,-21.5
2018,1,1,15,0,156,-24.400000000000002,0.49,-21.700000000000003
2018,1,1,15,30,84,-24.400000000000002,0.49,-21.900000000000002
2018,1,1,16,0,24,-24.8,0.49,-22.1
2018,1,1,16,30,0,-24.8,0.49,-22.200000000000003
2018,1,1,17,0,0,-25.1,0.49,-22.400000000000002
2018,1,1,17,30,0,-25.1,0.49,-22.5
2018,1,1,18,0,0,-25.400000000000002,0.49,-22.6
2018,1,1,18,30,0,-25.400000000000002,0.49,-22.6
2018,1,1,19,0,0,-25.8,0.49,-22.900000000000002
2018,1,1,19,30,0,-25.8,0.49,-23.1
2018,1,1,20,0,0,-26.200000000000003,0.49,-23.3
2018,1,1,20,30,0,-26.200000000000003,0.49,-23.5
2018,1,1,21,0,0,-26.5,0.49,-23.6
2018,1,1,21,30,0,-26.5,0.49,-24.1
2018,1,1,22,0,0,-27.400000000000002,0.49,-24.5
2018,1,1,22,30,0,-27.400000000000002,0.49,-25.200000000000003
2018,1,1,23,0,0,-28.8,0.49,-25.900000000000002
2018,1,1,23,30,0,-28.8,0.49,-26.5
2018,1,2,0,0,0,-30.1,0.49,-27.1
2018,1,2,0,30,0,-30.1,0.49,-27.6
2018,1,2,1,0,0,-31.200000000000003,0.49,-28.1
2018,1,2,1,30,0,-31.200000000000003,0.49,-28.400000000000002
2018,1,2,2,0,0,-31.900000000000002,0.49,-28.8
2018,1,2,2,30,0,-31.900000000000002,0.49,-29.0
2018,1,2,3,0,0,-32.4,0.49,-29.200000000000003
2018,1,2,3,30,0,-32.4,0.49,-29.400000000000002
2018,1,2,4,0,0,-32.800000000000004,0.49,-29.6
2018,1,2,4,30,0,-32.800000000000004,0.49,-30.0
2018,1,2,5,0,0,-33.6,0.49,-30.3
2018,1,2,5,30,0,-33.6,0.49,-30.8
2018,1,2,6,0,0,-34.5,0.49,-31.200000000000003
2018,1,2,6,30,0,-34.5,0.49,-31.5
2018,1,2,7,0,0,-35.1,0.49,-31.700000000000003
2018,1,2,7,30,12,-35.1,0.49,-30.8
2018,1,2,8,0,66,-33.0,0.49,-29.8
2018,1,2,8,30,138,-33.1,0.49,-27.400000000000002
2018,1,2,9,0,191,-27.900000000000002,0.49,-25.0
2018,1,2,9,30,263,-28.0,0.49,-23.400000000000002
2018,1,2,10,0,304,-24.5,0.49,-21.700000000000003
2018,1,2,10,30,370,-24.5,0.49,-20.8
2018,1,2,11,0,380,-22.400000000000002,0.49,-19.8
2018,1,2,11,30,381,-22.400000000000002,0.49,-19.200000000000003
2018,1,2,12,0,371,-21.0,0.49,-18.5
2018,1,2,12,30,370,-21.0,0.49,-18.0
2018,1,2,13,0,315,-19.8,0.49,-17.5
2018,1,2,13,30,264,-19.8,0.49,-17.2
