Year,Month,Day,Hour,Minute,GHI,Dew Point,Surface Albedo,Temperature
2018,1,1,0,0,0,-20.0,0.87,-16.2
2018,1,1,0,30,0,-20.0,0.87,-16.3
2018,1,1,1,0,0,-20.1,0.87,-16.400000000000002
2018,1,1,1,30,0,-20.1,0.87,-16.6
2018,1,1,2,0,0,-20.3,0.87,-16.8
2018,1,1,2,30,0,-20.3,0.87,-17.0
2018,1,1,3,0,0,-20.700000000000003,0.87,-17.2
2018,1,1,3,30,0,-20.700000000000003,0.87,-17.3
2018,1,1,4,0,0,-20.900000000000002,0.87,-17.400000000000002
2018,1,1,4,30,0,-20.900000000000002,0.87,-17.6
2018,1,1,5,0,0,-21.1,0.87,-17.7
2018,1,1,5,30,0,-21.1,0.87,-17.8
2018,1,1,6,0,0,-21.1,0.87,-17.900000000000002
2018,1,1,6,30,0,-21.1,0.87,-18.0
2018,1,1,7,0,0,-21.1,0.87,-18.0
2018,1,1,7,30,11,-21.1,0.87,-17.1
2018,1,1,8,0,60,-20.5,0.87,-16.1
2018,1,1,8,30,132,-20.5,0.87,-15.0
2018,1,1,9,0,231,-19.400000000000002,0.87,-13.9
2018,1,1,9,30,306,-19.400000000000002,0.87,-13.200000000000001
2018,1,1,10,0,357,-18.900000000000002,0.87,-12.5
2018,1,1,10,30,411,-18.900000000000002,0.87,-11.9
2018,1,1,11,0,446,-18.400000000000002,0.87,-11.3
2018,1,1,11,30,477,-18.400000000000002,0.87,-10.9
2018,1,1,12,0,474,-17.900000000000002,0.87,-10.5
2018,1,1,12,30,477,-17.900000000000002,0.87,-10.3
2018,1,1,13,0,406,-17.5,0.87,-10.100000000000001
2018,1,1,13,30,369,-17.5,0.87,-10.200000000000001
2018,1,1,14,0,348,-17.3,0.87,-10.200000000000001
2018,1,1,14,30,268,-17.3,0.87,-10.4
2018,1,1,15,0,196,-17.3,0.87,-10.600000000000001
2018,1,1,15,30,123,-17.3,0.87,-11.100000000000001
2018,1,1,16,0,56,-17.400000000000002,0.87,-11.600000000000001
2018,1,1,16,30,9,-17.400000000000002,0.87,-12.0
2018,1,1,17,0,0,-17.5,0.87,-12.5
2018,1,1,17,30,0,-17.5,0.87,-12.9
2018,1,1,18,0,0,-17.6,0.87,-13.3
2018,1,1,18,30,0,-17.6,0.87,-13.3
2018,1,1,19,0,0,-17.7,0.87,-14.100000000000001
2018,1,1,19,30,0,-17.7,0.87,-14.200000000000001
2018,1,1,20,0,0,-17.5,0.87,-14.3
2018,1,1,20,30,0,-17.5,0.87,-14.100000000000001
2018,1,1,21,0,0,-17.1,0.87,-13.9
2018,1,1,21,30,0,-17.1,0.87,-14.0
2018,1,1,22,0,0,-16.7,0.87,-14.0
2018,1,1,22,30,0,-16.7,0.87,-14.200000000000001
2018,1,1,23,0,0,-16.5,0.87,-14.5
2018,1,1,23,30,0,-16.5,0.87,-14.4
2018,1,2,0,0,0,-16.400000000000002,0.87,-14.3
2018,1,2,0,30,0,-16.400000000000002,0.87,-14.100000000000001
2018,1,2,1,0,0,-16.400000000000002,0.87,-13.8
2018,1,2,1,30,0,-16.3,0.87,-13.5
2018,1,2,2,0,0,-16.5,0.87,-13.200000000000001
2018,1,2,2,30,0,-16.5,0.87,-12.9
2018,1,2,3,0,0,-16.6,0.87,-12.600000000000001
2018,1,2,3,30,0,-16.6,0.87,-12.4
2018,1,2,4,0,0,-16.6,0.87,-12.200000000000001
2018,1,2,4,30,0,-16.6,0.87,-12.200000000000001
2018,1,2,5,0,0,-16.6,0.87,-12.3
2018,1,2,5,30,0,-16.6,0.87,-12.600000000000001
2018,1,2,6,0,0,-16.900000000000002,0.87,-13.0
2018,1,2,6,30,0,-16.900000000000002,0.87,-13.3
2018,1,2,7,0,0,-17.0,0.87,-13.700000000000001
2018,1,2,7,30,11,-17.0,0.87,-12.9
2018,1,2,8,0,62,-16.1,0.87,-12.200000000000001
2018,1,2,8,30,143,-16.1,0.87,-11.100000000000001
2018,1,2,9,0,227,-14.700000000000001,0.87,-10.100000000000001
2018,1,2,9,30,296,-14.700000000000001,0.87,-9.3
2018,1,2,10,0,343,-13.700000000000001,0.87,-8.5
2018,1,2,10,30,358,-13.700000000000001,0.87,-7.800000000000001
2018,1,2,11,0,384,-13.0,0.87,-7.2
2018,1,2,11,30,403,-13.0,0.87,-6.7
2018,1,2,12,0,405,-12.4,0.87,-6.2
2018,1,2,12,30,394,-12.4,0.87,-5.9
2018,1,2,13,0,351,-12.0,0.87,-5.6000000000000005
2018,1,2,13,30,234,-12.0,0.87,-5.5
2018,1,2,14,0,263,-11.600000000000001,0.87,-5.4
2018,1,2,14,30,254,-11.600000000000001,0.87,-5.7
2018,1,2,15,0,201,-11.5,0.87,-6.0
2018,1,2,15,30,120,-11.5,0.87,-7.1000000000000005
2018,1,2,16,0,58,-12.3,0.87,-8.200000000000001
2018,1,2,16,30,9,-12.3,0.87,-8.700000000000001
2018,1,2,17,0,0,-12.700000000000001,0.87,-9.200000000000001
2018,1,2,17,30,0,-12.700000000000001,0.87,-9.5
2018,1,2,18,0,0,-12.9,0.87,-9.8
2018,1,2,18,30,0,-12.9,0.87,-9.8
2018,1,2,19,0,0,-13.100000000000001,0.87,-10.700000000000001
2018,1,2,19,30,0,-13.100000000000001,0.87,-11.100000000000001
2018,1,2,20,0,0,-13.4,0.87,-11.5
2018,1,2,20,30,0,-13.4,0.87,-11.9
2018,1,2,21,0,0,-13.8,0.87,-12.3
2018,1,2,21,30,0,-13.8,0.87,-12.600000000000001
2018,1,2,22,0,0,-14.100000000000001,0.87,-12.9
2018,1,2,22,30,0,-14.100000000000001,0.87,-13.100000000000001
2018,1,2,23,0,0,-14.4,0.87,-13.4
2018,1,2,23,30,0,-14.4,0.87,-13.700000000000001
2018,1,3,0,0,0,-14.700000000000001,0.87,-13.9
2018,1,3,0,30,0,-14.700000000000001,0.87,-14.100000000000001
2018,1,3,1,0,0,-14.9,0.87,-14.3
2018,1,3,1,30,0,-14.9,0.87,-14.5
2018,1,3,2,0,0,-15.100000000000001,0.87,-14.600000000000001
2018,1,3,2,30,0,-15.100000000000001,0.87,-14.700000000000001
2018,1,3,3,0,0,-15.200000000000001,0.87,-14.700000000000001
2018,1,3,3,30,0,-15.200000000000001,0.87,-14.700000000000001
2018,1,3,4,0,0,-15.3,0.87,-14.700000000000001
2018,1,3,4,30,0,-15.3,0.87,-14.8
2018,1,3,5,0,0,-15.4,0.87,-14.8
2018,1,3,5,30,0,-15.4,0.87,-14.8
2018,1,3,6,0,0,-15.5,0.87,-14.8
2018,1,3,6,30,0,-15.5,0.87,-14.9
2018,1,3,7,0,0,-15.600000000000001,0.87,-14.9
2018,1,3,7,30,10,-15.600000000000001,0.87,-13.9
2018,1,3,8,0,63,-15.4,0.87,-12.8
2018,1,3,8,30,137,-15.5,0.87,-11.3
2018,1,3,9,0,224,-14.9,0.87,-9.700000000000001
2018,1,3,9,30,302,-14.9,0.87,-8.5
2018,1,3,10,0,355,-14.100000000000001,0.87,-7.300000000000001
2018,1,3,10,30,363,-14.100000000000001,0.87,-6.4
2018,1,3,11,0,389,-13.600000000000001,0.87,-5.6000000000000005
2018,1,3,11,30,401,-13.600000000000001,0.87,-5.1000000000000005
