Year,Month,Day,Hour,Minute,GHI,Dew Point,Surface Albedo,Temperature
2018,1,1,0,0,0,-19.3,0.5,-17.6
2018,1,1,0,30,0,-19.3,0.5,-18.2
2018,1,1,1,0,0,-20.3,0.5,-18.8
2018,1,1,1,30,0,-20.3,0.5,-18.900000000000002
2018,1,1,2,0,0,-20.5,0.5,-19.0
2018,1,1,2,30,0,-20.5,0.5,-18.900000000000002
2018,1,1,3,0,0,-20.200000000000003,0.5,-18.8
2018,1,1,3,30,0,-20.200000000000003,0.5,-18.5
2018,1,1,4,0,0,-19.6,0.5,-18.2
2018,1,1,4,30,0,-19.6,0.5,-17.900000000000002
2018,1,1,5,0,0,-18.900000000000002,0.5,-17.6
2018,1,1,5,30,0,-18.900000000000002,0.5,-17.400000000000002
2018,1,1,6,0,0,-18.400000000000002,0.5,-17.3
2018,1,1,6,30,0,-18.400000000000002,0.5,-17.1
2018,1,1,7,0,0,-18.0,0.5,-17.0
2018,1,1,7,30,0,-18.0,0.5,-16.5
2018,1,1,8,0,11,-17.2,0.5,-16.0
2018,1,1,8,30,36,-17.2,0.5,-15.200000000000001
2018,1,1,9,0,67,-15.700000000000001,0.5,-14.3
2018,1,1,9,30,124,-15.700000000000001,0.5,-13.9
2018,1,1,10,0,154,-15.0,0.5,-13.4
2018,1,1,10,30,192,-15.0,0.5,-13.200000000000001
2018,1,1,11,0,311,-14.8,0.5,-12.9
2018,1,1,11,30,326,-14.8,0.5,-12.9
2018,1,1,12,0,325,-14.700000000000001,0.5,-12.8
2018,1,1,12,30,286,-14.8,0.5,-12.9
2018,1,1,13,0,366,-14.9,0.5,-13.0
2018,1,1,13,30,330,-14.9,0.5,-13.100000000000001
2018,1,1,14,0,203,-15.100000000000001,0.5,-13.3
2018,1,1,14,30,214,-15.100000000000001,0.5,-13.4
2018,1,1,15,0,145,-15.200000000000001,0.5,-13.5
2018,1,1,15,30,96,-15.200000000000001,0.5,-13.600000000000001
2018,1,1,16,0,52,-15.100000000000001,0.5,-13.700000000000001
2018,1,1,16,30,17,-15.100000000000001,0.5,-13.700000000000001
2018,1,1,17,0,0,-14.9,0.5,-13.700000000000001
2018,1,1,17,30,0,-14.9,0.5,-13.5
2018,1,1,18,0,0,-14.4,0.5,-13.4
2018,1,1,18,30,0,-14.4,0.5,-13.4
2018,1,1,19,0,0,-14.0,0.5,-12.9
2018,1,1,19,30,0,-14.0,0.5,-12.8
2018,1,1,20,0,0,-13.8,0.5,-12.700000000000001
2018,1,1,20,30,0,-13.8,0.5,-12.700000000000001
2018,1,1,21,0,0,-13.700000000000001,0.5,-12.600000000000001
2018,1,1,21,30,0,-13.700000000000001,0.5,-12.600000000000001
2018,1,1,22,0,0,-13.600000000000001,0.5,-12.600000000000001
2018,1,1,22,30,0,-13.600000000000001,0.5,-12.5
2018,1,1,23,0,0,-13.5,0.5,-12.5
2018,1,1,23,30,0,-13.5,0.5,-12.5
2018,1,2,0,0,0,-13.5,0.5,-12.5
2018,1,2,0,30,0,-13.5,0.5,-12.5
2018,1,2,1,0,0,-13.600000000000001,0.5,-12.600000000000001
2018,1,2,1,30,0,-13.600000000000001,0.5,-12.700000000000001
2018,1,2,2,0,0,-13.8,0.5,-12.8
2018,1,2,2,30,0,-13.8,0.5,-12.9
2018,1,2,3,0,0,-14.100000000000001,0.5,-13.100000000000001
2018,1,2,3,30,0,-14.100000000000001,0.5,-13.0
2018,1,2,4,0,0,-14.0,0.5,-13.0
2018,1,2,4,30,0,-14.0,0.5,-12.9
2018,1,2,5,0,0,-13.700000000000001,0.5,-12.8
2018,1,2,5,30,0,-13.700000000000001,0.5,-12.600000000000001
2018,1,2,6,0,0,-13.5,0.5,-12.5
2018,1,2,6,30,0,-13.5,0.5,-12.4
2018,1,2,7,0,0,-13.3,0.5,-12.3
2018,1,2,7,30,0,-13.3,0.5,-12.200000000000001
2018,1,2,8,0,10,-13.0,0.5,-12.100000000000001
2018,1,2,8,30,38,-13.0,0.5,-11.8
2018,1,2,9,0,74,-12.700000000000001,0.5,-11.600000000000001
2018,1,2,9,30,103,-12.700000000000001,0.5,-11.4
2018,1,2,10,0,90,-12.4,0.5,-11.200000000000001
2018,1,2,10,30,84,-12.4,0.5,-11.200000000000001
2018,1,2,11,0,98,-12.4,0.5,-11.100000000000001
2018,1,2,11,30,81,-12.4,0.5,-11.200000000000001
2018,1,2,12,0,91,-12.600000000000001,0.5,-11.3
2018,1,2,12,30,92,-12.600000000000001,0.5,-11.3
2018,1,2,13,0,55,-12.8,0.5,-11.3
2018,1,2,13,30,171,-12.8,0.5,-11.4
2018,1,2,14,0,299,-12.9,0.5,-11.5
2018,1,2,14,30,257,-12.9,0.5,-11.600000000000001
2018,1,2,15,0,186,-13.100000000000001,0.5,-11.8
2018,1,2,15,30,112,-13.100000000000001,0.5,-12.0
2018,1,2,16,0,63,-13.3,0.5,-12.200000000000001
2018,1,2,16,30,21,-13.3,0.5,-12.3
2018,1,2,17,0,1,-13.5,0.5,-12.4
2018,1,2,17,30,0,-13.5,0.5,-12.4
2018,1,2,18,0,0,-13.5,0.5,-12.4
2018,1,2,18,30,0,-13.5,0.5,-12.4
2018,1,2,19,0,0,-13.5,0.5,-12.4
